  I     	  II     	  LV     	  LV'		
-117.80   	-31.74   	  9.58   	   0.00		
-140.69   	-45.47   	  9.58   	  -5.09		
-150.45   	-54.93   	  9.56   	   0.00		
-139.47   	-59.20   	  9.56   	   0.00		
-121.46   	-59.81   	  9.56   	   0.00		
-121.15   	-58.59   	  9.56   	   5.09		
-151.37   	-56.15   	  9.58   	  10.17		
-195.31   	-52.80   	  9.62   	  10.17		
-217.29   	-50.66   	  9.66   	  10.17		
-194.70   	-52.80   	  9.70   	  20.35		
-141.60   	-60.42   	  9.79   	  20.35		
-94.60   	-68.97   	  9.87   	  25.43		
-84.84   	-73.85   	  9.97   	  30.52		
-116.27   	-72.63   	 10.09   	  30.52		
-164.18   	-68.05   	 10.21   	  40.69		
-197.45   	-64.70   	 10.38   	  40.69		
-204.47   	-64.09   	 10.54   	  50.86		
-192.26   	-63.48   	 10.74   	  50.86		
-168.15   	-59.81   	 10.95   	  55.95		
-136.11   	-50.96   	 11.17   	  55.95		
-108.34   	-36.93   	 11.39   	  55.95		
-102.84   	-14.04   	 11.62   	  55.95		
-132.75   	 20.75   	 11.84   	  50.86		
-190.12   	 62.56   	 12.04   	  50.86		
-238.95   	 97.66   	 12.25   	  45.78		
-226.75   	111.08   	 12.43   	  40.69		
-121.77   	 97.66   	 12.59   	  35.61		
 59.51   	 65.31   	 12.74   	  30.52		
267.03   	 18.31   	 12.86   	  25.43		
451.66   	-54.63   	 12.96   	  25.43		
585.33   	-161.74   	 13.06   	  20.35		
659.18   	-287.78   	 13.14   	  25.43		
672.00(R)	-390.63   	 13.25(E)	  20.35		
614.32   	-426.03   	 13.33   	  30.52		
481.26   	-388.79   	 13.45   	  25.43		
299.07   	-317.38   	 13.55   	  35.61		
116.58   	-254.52   	 13.69   	  35.61		
-17.70   	-209.96   	 13.84   	  40.69		
-81.79   	-163.88   	 14.00   	  50.86		
-89.72   	-99.18   	 14.20   	  61.04		
-74.46   	-28.08   	 14.45   	  71.21		
-62.87   	 17.70   	 14.73   	  96.64		
-66.53   	 21.36   	 15.12   	 122.07		
-83.92   	 -3.66   	 15.61   	 157.68		
