  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-34.79   	 -9.16   	 60.65   	 -30.52		 63.44   	 -40.69		
-37.23   	-11.90   	 60.53   	 -30.52		 63.28   	 -40.69		
-39.06   	-13.43   	 60.41   	 -25.43		 63.11   	 -40.69		
-39.37   	-12.51   	 60.30   	 -30.52		 62.95   	 -40.69		
-37.84   	 -9.46   	 60.18   	 -25.43		 62.79   	 -35.61		
-36.62   	 -7.02   	 60.08   	 -35.61		 62.64   	 -40.69		
-36.01   	 -6.71   	 59.94   	 -35.61		 62.48   	 -35.61		
-37.23   	 -7.32   	 59.80   	 -35.61		 62.34   	 -35.61		
-39.06   	 -7.02   	 59.65   	 -40.69		 62.20   	 -40.69		
-39.98   	 -4.27   	 59.49   	 -35.61		 62.03   	 -35.61		
-39.37   	 -0.31   	 59.35   	 -40.69		 61.89   	 -35.61		
-37.23   	  1.83   	 59.19   	 -35.61		 61.75   	 -35.61		
-34.79   	 -0.31   	 59.04   	 -40.69		 61.61   	 -35.61		
-33.26   	 -4.88   	 58.88   	 -30.52		 61.46   	 -35.61		
-33.26   	 -8.85   	 58.76   	 -30.52		 61.32   	 -35.61		
-34.79   	-10.68   	 58.64   	 -30.52		 61.18   	 -35.61		
-36.93   	-10.07   	 58.51   	 -30.52		 61.04   	 -35.61		
-38.15   	 -8.24   	 58.39   	 -30.52		 60.89   	 -35.61		
-38.15   	 -7.32   	 58.27   	 -25.43		 60.75   	 -35.61		
-36.32   	 -7.02   	 58.17   	 -30.52		 60.61   	 -30.52		
-33.87   	 -7.93   	 58.05   	 -30.52		 60.49   	 -35.61		
-31.74   	 -9.77   	 57.92   	 -30.52		 60.35   	 -30.52		
-30.21   	-10.99   	 57.80   	 -30.52		 60.22   	 -35.61		
-30.52   	-10.38   	 57.68   	 -30.52		 60.08   	 -30.52		
-32.04   	 -6.41   	 57.56   	 -30.52		 59.96   	 -35.61		
-34.18   	 -0.31   	 57.44   	 -30.52		 59.82   	 -30.52		
-36.62   	  5.49   	 57.31   	 -30.52		 59.69   	 -30.52		
-38.15   	  7.93   	 57.19   	 -30.52		 59.57   	 -30.52		
-38.76   	  6.41   	 57.07   	 -30.52		 59.45   	 -35.61		
-38.45   	  2.14   	 56.95   	 -30.52		 59.31   	 -30.52		
-38.15   	 -1.53   	 56.83   	 -35.61		 59.19   	 -30.52		
-37.54   	 -2.14   	 56.68   	 -30.52		 59.06   	 -30.52		
-36.01   	  1.83   	 56.56   	 -30.52		 58.94   	 -30.52		
-33.26   	 10.07   	 56.44   	 -35.61		 58.82   	 -25.43		
-28.99   	 21.97   	 56.30   	 -30.52		 58.72   	 -30.52		
-24.41   	 35.71   	 56.17   	 -25.43		 58.60   	 -30.52		
-19.23   	 49.44   	 56.07   	 -25.43		 58.47   	 -30.52		
-13.73   	 60.42   	 55.97   	 -30.52		 58.35   	 -25.43		
 -8.24   	 65.92   	 55.85   	 -25.43		 58.25   	 -30.52		
 -4.58   	 65.31   	 55.75   	 -25.43		 58.13   	 -30.52		
 -3.97   	 60.42   	 55.65   	 -30.52		 58.01   	 -30.52		
 -6.71   	 56.76   	 55.52   	 -35.61		 57.88   	 -25.43		
-10.68   	 58.29   	 55.38   	 -30.52		 57.78   	 -30.52		
-13.12   	 65.92   	 55.26   	 -30.52		 57.66   	 -25.43		
-12.82   	 76.29   	 55.14   	 -30.52		 57.56   	 -30.52		
-10.99   	 83.62   	 55.02   	 -25.43		 57.44   	 -25.43		
 -7.93   	 84.84   	 54.91   	 -20.35		 57.33   	 -25.43		
 -3.97   	 83.62   	 54.83   	 -10.17		 57.23   	 -25.43		
  0.92   	 84.53   	 54.79   	  -5.09		 57.13   	 -30.52		
  6.10   	 90.94   	 54.77   	  -5.09		 57.01   	 -25.43		
  9.16   	 98.57   	 54.75   	   0.00		 56.91   	 -30.52		
  8.85   	 98.57   	 54.75   	   0.00		 56.79   	 -25.43		
  5.19   	 86.98   	 54.75   	   0.00		 56.68   	 -30.52		
  0.61   	 67.14   	 54.75   	  -5.09		 56.56   	 -25.43		
 -0.92   	 49.74   	 54.73   	  -5.09		 56.46   	 -25.43		
  3.97   	 43.64   	 54.71   	  -5.09		 56.36   	 -25.43		
 15.26   	 50.05   	 54.69   	 -10.17		 56.26   	 -30.52		
 31.13   	 61.95   	 54.65   	 -10.17		 56.13   	 -20.35		
 44.86   	 69.58   	 54.61   	 -15.26		 56.05   	 -25.43		
 49.74   	 65.31   	 54.55   	 -15.26		 55.95   	 -25.43		
 40.59   	 49.13   	 54.49   	 -15.26		 55.85   	 -25.43		
 19.53   	 25.63   	 54.43   	 -15.26		 55.75   	 -20.35		
 -6.71   	  2.75   	 54.36   	 -10.17		 55.67   	 -25.43		
-28.08   	-13.12   	 54.32   	 -15.26		 55.56   	 -20.35		
-38.15   	-20.14   	 54.26   	 -10.17		 55.48   	 -20.35		
-37.23   	-20.75   	 54.22   	  -5.09		 55.40   	 -15.26		
-30.52   	-18.62   	 54.20   	 -10.17		 55.34   	 -15.26		
-25.33   	-16.78   	 54.16   	 -15.26		 55.28   	 -15.26		
-25.02   	-16.48   	 54.10   	 -20.35		 55.22   	 -15.26		
-28.69   	-16.78   	 54.02   	 -25.43		 55.16   	 -10.17		
-33.57   	-17.09   	 53.92   	 -40.69		 55.12   	 -10.17		
-36.93   	-17.09   	 53.75   	 -45.78		 55.08   	 -15.26		
-38.76   	-17.09   	 53.57   	 -55.95		 55.02   	 -10.17		
-39.67   	-18.92   	 53.35   	 -55.95		 54.97   	 -10.17		
-40.59   	-23.19   	 53.12   	 -61.04		 54.93   	 -10.17		
-40.59   	-28.69   	 52.88   	 -55.95		 54.89   	 -10.17		
-39.67   	-33.87   	 52.65   	 -40.69		 54.85   	 -10.17		
-37.84   	-36.62   	 52.49   	 -30.52		 54.81   	 -10.17		
-35.71   	-36.62   	 52.37   	 -20.35		 54.77   	 -10.17		
-33.57   	-35.71   	 52.29   	  -5.09		 54.73   	 -15.26		
-32.35   	-36.32   	 52.27   	   0.00		 54.67   	 -10.17		
-32.04   	-38.45   	 52.27   	   5.09		 54.63   	 -10.17		
-33.26   	-39.67   	 52.29   	   5.09		 54.59   	 -15.26		
