  I     	  AOp     	  AOp'		  AO     	  AO'		
310.36   	 79.55   	 -10.17		 81.69   	 -25.43		
522.16   	 79.51   	 -20.35		 81.59   	 -30.52		
704.96   	 79.43   	 -30.52		 81.46   	 -20.35		
792.85(R)	 79.31   	 -35.61		 81.38   	 -25.43		
748.90   	 79.17   	 -45.78		 81.28   	 -20.35		
594.79   	 78.98   	 -50.86		 81.20   	 -25.43		
405.88   	 78.78   	 -45.78		 81.10   	 -20.35		
268.86   	 78.60   	 -40.69		 81.02   	 -25.43		
224.91   	 78.43   	 -35.61		 80.92   	 -25.43		
249.02   	 78.29   	 -30.52		 80.81   	 -25.43		
278.02   	 78.17   	 -20.35		 80.71   	 -25.43		
263.06   	 78.09   	 -25.43		 80.61   	 -30.52		
197.14   	 77.99   	 -25.43		 80.49   	 -25.43		
106.51   	 77.88   	 -25.43		 80.39   	 -30.52		
 21.67   	 77.78   	 -25.43		 80.26   	 -30.52		
-37.84   	 77.68   	 -30.52		 80.14   	 -30.52		
-67.44   	 77.56   	 -20.35		 80.02   	 -30.52		
-69.89   	 77.48   	 -15.26		 79.90   	 -30.52		
-54.02   	 77.42   	 -10.17		 79.78   	 -30.52		
-33.57   	 77.38(D)	   0.00		 79.65   	 -30.52		
-21.36   	 77.38   	  15.26		 79.53   	 -30.52		
-21.06   	 77.44   	  30.52		 79.41   	 -25.43		
-27.16   	 77.56   	  55.95		 79.31   	 -25.43		
-31.74   	 77.78   	  81.38		 79.21   	 -25.43		
-31.43   	 78.11   	 116.99		 79.10   	 -20.35		
-29.30   	 78.58   	 162.77		 79.02   	 -20.35		
-28.99   	 79.23   	 213.63		 78.94   	 -20.35		
-29.60   	 80.08   	 254.32		 78.86   	 -15.26		
-29.30   	 81.10   	 289.93		 78.80   	 -10.17		
-25.94   	 82.26   	 315.36		 78.76   	 -10.17		
-20.45   	 83.52   	 325.53		 78.72(D)	   5.09		
-14.34   	 84.82   	 325.53		 78.74   	  10.17		
 -8.54   	 86.12   	 315.36		 78.78   	  20.35		
 -4.27   	 87.39   	 300.10		 78.86   	  40.69		
 -1.83   	 88.59   	 279.75		 79.02   	  61.04		
 -0.92   	 89.70   	 254.32		 79.27   	  81.38		
 -0.31   	 90.72   	 223.80		 79.59   	 101.73		
  2.14   	 91.62   	 193.29		 80.00   	 132.25		
  8.24   	 92.39   	 147.51		 80.53   	 152.59		
 19.84   	 92.98   	 101.73		 81.14   	 183.11		
 35.10   	 93.39   	  50.86		 81.87   	 203.46		
 48.22   	 93.59   	   5.09		 82.69   	 218.72		
 55.24   	 93.61   	 -25.43		 83.56   	 239.06		
 55.24   	 93.51   	 -30.52		 84.52   	 244.15		
 52.49   	 93.39   	  -5.09		 85.49   	 259.41		
 52.80   	 93.37   	  45.78		 86.53   	 254.32		
 60.12   	 93.55   	 122.07		 87.55   	 259.41		
 73.55   	 94.04   	 193.29		 88.59   	 254.32		
 87.28   	 94.81   	 249.24		 89.60   	 249.24		
 97.66   	 95.81   	 284.84		 90.60   	 249.24		
104.06   	 96.95   	 289.93		 91.60   	 239.06		
108.34   	 98.11   	 264.50		 92.55   	 239.06		
114.14   	 99.17   	 223.80		 93.51   	 239.06		
123.29   	100.06   	 178.03		 94.47   	 233.98		
134.28   	100.77   	 127.16		 95.40   	 228.89		
144.35   	101.28   	  76.30		 96.32   	 233.98		
151.06   	101.59   	  25.43		 97.25   	 223.80		
155.03   	101.69   	 -15.26		 98.15   	 223.80		
158.69   	101.63   	 -55.95		 99.04   	 218.72		
163.57   	101.40   	 -76.30		 99.92   	 203.46		
169.68   	101.10   	 -91.56		100.73   	 193.29		
171.20   	100.73   	 -91.56		101.51   	 167.85		
164.18   	100.37   	 -86.47		102.18   	 152.59		
148.62   	100.02   	 -86.47		102.79   	 127.16		
130.00   	 99.67   	 -91.56		103.30   	 106.82		
114.75   	 99.31   	-101.73		103.72   	  86.47		
104.98   	 98.90   	-101.73		104.07   	  66.12		
 96.44   	 98.49   	 -91.56		104.33   	  45.78		
 84.23   	 98.13   	 -71.21		104.52   	  40.69		
 65.00   	 97.84   	 -40.69		104.68   	  30.52		
 40.89   	 97.68   	 -10.17		104.80   	  25.43		
 18.62   	 97.64   	  20.35		104.90   	  25.43		
  3.36   	 97.72   	  45.78		105.00   	  20.35		
 -4.27   	 97.90   	  71.21		105.09   	  30.52		
 -7.32   	 98.19   	  96.64		105.21   	  35.61		
-10.07   	 98.58   	 122.07		105.35   	  40.69		
-14.95   	 99.06   	 142.42		105.51   	  55.95		
-21.67   	 99.63   	 147.51		105.74   	  61.04		
-28.08   	100.22   	 142.42		105.98   	  66.12		
-33.26   	100.79   	 116.99		106.25   	  81.38		
-38.15   	101.26   	  86.47		106.57   	  81.38		
-43.64   	101.61   	  55.95		106.90   	  86.47		
-47.30   	101.83   	  30.52		107.24   	  81.38		
-48.22   	101.95   	  10.17		107.57   	  81.38		
-46.08   	101.99(S)	   0.00		107.89   	  76.30		
-43.03   	101.99   	  -5.09		108.20   	  71.21		
-42.11   	101.97   	  -5.09		108.48   	  55.95		
-43.64   	101.95   	  -5.09		108.71   	  45.78		
-46.39   	101.93   	 -15.26		108.89   	  40.69		
-47.91   	101.87   	 -15.26		109.05   	  25.43		
-47.00   	101.81   	 -20.35		109.16   	  15.26		
-45.17   	101.73   	 -15.26		109.22   	  10.17		
-43.95   	101.67   	 -10.17		109.26(S)	   0.00		
-43.03   	101.63   	 -15.26		109.26   	   0.00		
-42.11   	101.57   	 -20.35		109.26   	   0.00		
-41.81   	101.48   	 -45.78		109.26   	  -5.09		
-40.59   	101.30   	 -81.38		109.24   	   0.00		
-38.15   	100.98   	-127.16		109.24   	 -10.17		
-35.10   	100.47   	-178.03		109.20   	 -10.17		
-32.35   	 99.76   	-223.80		109.16   	 -15.26		
-31.13   	 98.86   	-269.58		109.09   	 -20.35		
-32.96   	 97.78   	-284.84		109.01   	 -40.69		
-35.71   	 96.64   	-279.75		108.85   	 -55.95		
-36.01   	 95.52   	-254.32		108.63   	 -71.21		
-32.04   	 94.51   	-203.46		108.34   	 -96.64		
-25.63   	 93.69   	-142.42		107.95   	-116.99		
-20.75   	 93.12   	 -71.21		107.49   	-137.33		
-20.75   	 92.84   	 -15.26		106.94   	-162.77		
-26.25   	 92.78   	  25.43		106.29   	-172.94		
-33.26   	 92.88   	  45.78		105.59   	-188.20		
-36.93   	 93.06   	  50.86		104.84   	-198.37		
-35.10   	 93.27   	  35.61		104.05   	-198.37		
-28.69   	 93.41   	  25.43		103.25   	-193.29		
-21.97   	 93.51   	  20.35		102.48   	-188.20		
-19.53   	 93.59   	  15.26		101.73   	-183.11		
-21.67   	 93.65   	  15.26		101.00   	-162.77		
-26.86   	 93.71   	  25.43		100.35   	-147.51		
-32.65   	 93.81   	  40.69		 99.76   	-132.25		
-37.23   	 93.98   	  50.86		 99.23   	-116.99		
-40.59   	 94.18   	  61.04		 98.76   	 -96.64		
-40.59   	 94.42   	  66.12		 98.37   	 -76.30		
-35.71   	 94.69   	  66.12		 98.07   	 -66.12		
-26.86   	 94.95   	  76.30		 97.80   	 -45.78		
-18.92   	 95.26   	  76.30		 97.62   	 -30.52		
-17.70   	 95.56   	  71.21		 97.50   	 -15.26		
-25.33   	 95.85   	  66.12		 97.44   	 -10.17		
-36.93   	 96.11   	  55.95		 97.40   	   0.00		
-44.86   	 96.34   	  35.61		 97.40   	   5.09		
-44.56   	 96.48   	  20.35		 97.42   	  15.26		
-37.84   	 96.56   	   0.00		 97.48   	  10.17		
-30.52   	 96.56   	 -15.26		 97.52   	  10.17		
-26.86   	 96.50   	 -35.61		 97.56   	  10.17		
-27.77   	 96.36   	 -45.78		 97.60   	   5.09		
-30.52   	 96.17   	 -55.95		 97.62   	   0.00		
-33.26   	 95.95   	 -55.95		 97.62   	  -5.09		
