  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
 11.29   	 -1.22   	 89.60   	 -91.56		 82.60   	-300.10		
 15.87   	  3.36   	 89.24   	 -91.56		 81.40   	-300.10		
 17.40   	  2.44   	 88.87   	-101.73		 80.20   	-279.75		
 13.43   	 -3.66   	 88.46   	 -96.64		 79.08   	-254.32		
  5.80   	-11.29   	 88.08   	 -96.64		 78.07   	-218.72		
 -0.92   	-15.56   	 87.69   	 -96.64		 77.19   	-193.29		
 -2.44   	-13.73   	 87.30   	 -81.38		 76.42   	-178.03		
  3.05   	 -7.93   	 86.98   	 -81.38		 75.71   	-183.11		
 12.21   	 -1.83   	 86.65   	 -71.21		 74.97   	-193.29		
 19.53   	  0.61   	 86.37   	 -66.12		 74.20   	-198.37		
 20.14   	 -1.83   	 86.10   	 -61.04		 73.41   	-188.20		
 14.04   	 -8.24   	 85.86   	 -61.04		 72.65   	-178.03		
  5.80   	-15.56   	 85.62   	 -61.04		 71.94   	-167.85		
  0.31   	-20.14   	 85.37   	 -66.12		 71.27   	-172.94		
 -0.92   	-20.75   	 85.11   	 -71.21		 70.58   	-172.94		
  2.14   	-17.09   	 84.82   	 -66.12		 69.89   	-162.77		
  6.71   	-12.51   	 84.56   	 -76.30		 69.24   	-147.51		
 10.38   	-10.07   	 84.25   	 -71.21		 68.65   	-137.33		
 12.82   	-11.60   	 83.97   	 -66.12		 68.10   	-132.25		
 13.43   	-15.87   	 83.70   	 -71.21		 67.57   	-132.25		
 10.99   	-20.14   	 83.42   	 -71.21		 67.04   	-122.07		
  5.19   	-23.50   	 83.13   	 -61.04		 66.55   	-111.90		
 -2.14   	-24.72   	 82.89   	 -66.12		 66.10   	 -86.47		
 -7.63   	-24.41   	 82.62   	 -66.12		 65.76   	 -76.30		
 -7.02   	-22.58   	 82.36   	 -66.12		 65.45   	-111.90		
 -0.92   	-20.45   	 82.10   	 -66.12		 65.00   	-111.90		
  7.02   	-17.70   	 81.83   	 -71.21		 64.56   	 -55.95		
 12.21   	-15.56   	 81.55   	 -66.12		 64.33   	 -40.69		
 12.82   	-13.73   	 81.28   	 -76.30		 64.17   	 -55.95		
  9.77   	-12.82   	 80.98   	 -71.21		 63.95   	 -71.21		
  5.80   	-12.82   	 80.69   	 -76.30		 63.66   	 -76.30		
  2.44   	-15.26   	 80.39   	 -76.30		 63.36   	 -71.21		
  0.31   	-19.23   	 80.08   	 -71.21		 63.07   	 -55.95		
 -0.31   	-22.28   	 79.80   	 -76.30		 62.85   	 -50.86		
  0.61   	-21.67   	 79.49   	 -76.30		 62.64   	 -45.78		
  3.05   	-17.40   	 79.19   	 -71.21		 62.46   	 -55.95		
  5.80   	-12.82   	 78.90   	 -71.21		 62.24   	 -50.86		
  7.63   	-10.68   	 78.62   	 -71.21		 62.03   	 -55.95		
  7.93   	-12.21   	 78.33   	 -71.21		 61.81   	 -45.78		
  7.32   	-15.56   	 78.05   	 -66.12		 61.63   	 -40.69		
  5.19   	-16.78   	 77.78   	 -71.21		 61.46   	 -50.86		
  1.53   	-16.17   	 77.50   	 -71.21		 61.26   	 -55.95		
 -1.83   	-15.26   	 77.21   	 -71.21		 61.04   	 -50.86		
 -3.97   	-15.87   	 76.93   	 -71.21		 60.83   	 -55.95		
 -4.27   	-17.09   	 76.64   	 -71.21		 60.61   	 -45.78		
 -3.66   	-17.70   	 76.36   	 -71.21		 60.43   	 -50.86		
 -2.75   	-15.87   	 76.07   	 -71.21		 60.22   	 -50.86		
 -3.66   	-13.12   	 75.79   	 -71.21		 60.02   	 -50.86		
 -6.10   	-10.99   	 75.50   	 -71.21		 59.82   	 -61.04		
 -7.63   	-10.68   	 75.22   	 -71.21		 59.57   	 -50.86		
 -6.71   	-11.90   	 74.93   	 -71.21		 59.37   	 -50.86		
 -3.36   	-12.82   	 74.65   	 -71.21		 59.17   	 -45.78		
  0.61   	-13.73   	 74.36   	 -71.21		 58.98   	 -55.95		
  3.05   	-14.95   	 74.08   	 -71.21		 58.76   	 -50.86		
  1.83   	-16.78   	 73.79   	 -71.21		 58.56   	 -50.86		
