  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-93.99   	-175.78   	 22.40   	 335.71		 86.43   	 -61.04		
-80.87   	-176.39   	 23.74   	 412.00		 86.18   	 -61.04		
-68.97   	-163.88   	 25.39   	 488.30		 85.94   	 -61.04		
-54.32   	-154.11   	 27.34   	 584.94		 85.70   	 -61.04		
-39.98   	-148.32   	 29.68   	 671.41		 85.45   	 -55.95		
-31.13   	-144.04   	 32.37   	 757.88		 85.23   	 -55.95		
-29.91   	-142.82   	 35.40   	 849.44		 85.00   	 -50.86		
-32.65   	-145.57   	 38.80   	 925.73		 84.80   	 -50.86		
-33.87   	-149.23   	 42.50   	 996.94		 84.60   	 -50.86		
-31.43   	-148.93   	 46.49   	1042.72		 84.39   	 -50.86		
-28.08   	-144.04   	 50.66   	1083.41		 84.19   	 -40.69		
-26.55   	-137.63   	 54.99   	1103.76		 84.03   	 -40.69		
-27.16   	-133.36   	 59.41   	1119.02		 83.87   	 -30.52		
-28.99   	-131.53   	 63.89   	1129.19		 83.74   	 -25.43		
-30.52   	-131.23   	 68.40   	1149.54		 83.64   	 -20.35		
-31.43   	-131.53   	 73.00   	1174.97		 83.56   	  -5.09		
-31.74   	-131.84   	 77.70   	1185.14		 83.54(D)	   5.09		
-31.13   	-130.92   	 82.44   	1195.32		 83.56   	  20.35		
-30.21   	-128.48   	 87.22   	1200.40		 83.64   	  45.78		
-28.99   	-124.82   	 92.02   	1200.40		 83.82   	  76.30		
-27.47   	-120.24   	 96.83   	1215.66		 84.13   	 101.73		
-26.55   	-116.27   	101.69   	1220.75		 84.54   	 142.42		
-27.16   	-113.53   	106.57   	1210.58		 85.11   	 183.11		
-28.08   	-112.61   	111.41   	1185.14		 85.84   	 223.80		
-27.77   	-111.39   	116.15   	1139.36		 86.73   	 274.67		
-25.33   	-109.25   	120.71   	1083.41		 87.83   	 320.45		
-20.45   	-105.29   	125.05   	1037.64		 89.11   	 366.22		
-15.56   	-100.71   	129.20   	 996.94		 90.58   	 417.09		
-12.82   	-97.05   	133.18   	 961.34		 92.25   	 462.87		
-13.73   	-93.38   	137.03   	 920.65		 94.10   	 508.65		
-17.70   	-87.59   	140.71   	 864.70		 96.13   	 549.34		
-20.45   	-78.43   	144.17   	 803.66		 98.33   	 595.11		
-19.84   	-68.05   	147.38   	 752.79		100.71   	 630.72		
-15.56   	-59.20   	150.40   	 712.10		103.23   	 661.24		
-10.07   	-54.32   	153.24   	 671.41		105.88   	 696.84		
 -6.41   	-52.19   	155.93   	 645.98		108.67   	 722.28		
 -5.19   	-49.13   	158.51   	 605.29		111.56   	 747.71		
 -5.19   	-43.03   	160.94   	 574.77		114.55   	 768.05		
 -3.97   	-32.65   	163.23   	 534.08		117.62   	 778.23		
 -1.22   	-20.75   	165.37   	 498.47		120.73   	 788.40		
  2.14   	 -9.46   	167.36   	 478.13		123.89   	 798.57		
  5.80   	  0.92   	169.28   	 457.78		127.08   	 798.57		
  9.77   	 11.60   	171.11   	 437.43		130.27   	 803.66		
 14.65   	 24.41   	172.86   	 422.18		133.49   	 793.49		
 20.14   	 39.67   	174.55   	 412.00		136.66   	 788.40		
 25.33   	 55.24   	176.19   	 406.92		139.82   	 778.23		
 29.91   	 68.66   	177.82   	 391.66		142.93   	 768.05		
 33.26   	 78.74   	179.39   	 381.48		146.00   	 747.71		
 36.32   	 86.67   	180.91   	 361.14		148.99   	 737.54		
 39.67   	 94.91   	182.36   	 345.88		151.94   	 717.19		
 43.03   	104.37   	183.74   	 335.71		154.81   	 691.76		
 47.61   	114.14   	185.09   	 325.53		157.58   	 676.50		
 53.41   	122.07   	186.39   	 315.36		160.28   	 651.07		
 60.73   	126.34   	187.65   	 305.19		162.89   	 630.72		
 66.53   	127.56   	188.87   	 284.84		165.41   	 605.29		
 68.97   	127.56   	190.01   	 269.58		167.83   	 579.86		
 67.75   	128.17   	191.09   	 259.41		170.15   	 554.42		
 65.00   	129.39   	192.13   	 244.15		172.37   	 528.99		
 64.09   	130.31   	193.10   	 233.98		174.49   	 503.56		
 65.92   	128.78   	194.04   	 208.54		176.50   	 473.04		
 67.14   	123.29   	194.87   	 193.29		178.39   	 452.69		
 64.09   	113.83   	195.65   	 172.94		180.20   	 422.18		
 55.24   	101.01   	196.34   	 152.59		181.89   	 396.74		
 43.03   	 85.45   	196.95   	 137.33		183.48   	 366.22		
 31.74   	 68.66   	197.50   	 116.99		184.94   	 345.88		
 24.41   	 51.57   	197.96   	  96.64		186.33   	 315.36		
 20.45   	 35.40   	198.35   	  71.21		187.59   	 289.93		
 18.31   	 20.14   	198.64   	  50.86		188.75   	 259.41		
 14.95   	  5.19   	198.84   	  20.35		189.79   	 233.98		
  9.16   	 -8.85   	198.92(S)	 -10.17		190.72   	 208.54		
  1.83   	-21.97   	198.88   	 -30.52		191.56   	 183.11		
 -5.80   	-33.87   	198.76   	 -66.12		192.29   	 157.68		
-11.90   	-45.17   	198.49   	 -96.64		192.92   	 127.16		
-15.87   	-55.54   	198.11   	-142.42		193.43   	 101.73		
-18.31   	-65.92   	197.54   	-188.20		193.83   	  71.21		
-20.75   	-75.99   	196.78   	-233.98		194.12   	  45.78		
-23.19   	-84.23   	195.85   	-279.75		194.30   	  20.35		
-25.63   	-90.33   	194.73   	-330.62		194.38(S)	 -15.26		
-27.47   	-93.08   	193.41   	-386.57		194.32   	 -45.78		
-28.38   	-93.08   	191.86   	-437.43		194.14   	 -76.30		
-28.69   	-91.25   	190.11   	-503.56		193.83   	-106.82		
-29.30   	-90.03   	188.10   	-564.60		193.41   	-142.42		
-30.21   	-90.03   	185.84   	-640.89		192.84   	-178.03		
-31.43   	-91.25   	183.27   	-712.10		192.13   	-218.72		
