  I     	  II     	  AO     	  AO'		  AO     	  AO'		
 39.37   	 43.95   	 87.18   	 -61.04		 91.62   	 -91.56		
 36.93   	 52.49   	 86.94   	 -55.95		 91.25   	 -96.64		
 38.15   	 59.20   	 86.71   	 -55.95		 90.86   	 -86.47		
 41.20   	 60.42   	 86.49   	 -55.95		 90.52   	 -91.56		
 46.69   	 59.51   	 86.27   	 -61.04		 90.15   	 -81.38		
 51.88   	 54.63   	 86.02   	 -66.12		 89.83   	 -86.47		
 53.10   	 48.52   	 85.76   	 -71.21		 89.48   	 -81.38		
 54.93   	 47.00   	 85.47   	 -76.30		 89.16   	 -81.38		
 48.83   	 51.57   	 85.17   	 -76.30		 88.83   	 -81.38		
 42.72   	 55.85   	 84.86   	 -86.47		 88.50   	 -76.30		
 38.76   	 59.51   	 84.52   	 -81.38		 88.20   	 -81.38		
 28.69   	 57.07   	 84.19   	 -86.47		 87.87   	 -76.30		
 19.53   	 53.10   	 83.85   	 -76.30		 87.57   	 -76.30		
 16.78   	 51.88   	 83.54   	 -76.30		 87.26   	 -71.21		
 14.95   	 50.66   	 83.23   	 -66.12		 86.98   	 -76.30		
  9.46   	 62.87   	 82.97   	 -55.95		 86.67   	 -71.21		
 14.95   	 68.36   	 82.75   	 -55.95		 86.39   	 -71.21		
 15.87   	 72.02   	 82.52   	 -45.78		 86.10   	 -76.30		
 12.82   	 75.99   	 82.34   	 -45.78		 85.80   	 -66.12		
 13.12   	 70.19   	 82.16   	 -40.69		 85.53   	 -71.21		
 11.29   	 73.24   	 81.99   	 -45.78		 85.25   	 -66.12		
 10.07   	 75.38   	 81.81   	 -40.69		 84.98   	 -71.21		
  8.85   	 78.74   	 81.65   	 -45.78		 84.70   	 -61.04		
  6.41   	 81.79   	 81.46   	 -45.78		 84.46   	 -66.12		
 11.60   	 80.57   	 81.28   	 -50.86		 84.19   	 -66.12		
  9.46   	 86.36   	 81.08   	 -55.95		 83.93   	 -61.04		
 12.21   	 93.08   	 80.85   	 -55.95		 83.68   	 -61.04		
 15.87   	118.71   	 80.63   	 -55.95		 83.44   	 -61.04		
 15.56   	175.78   	 80.41   	 -61.04		 83.19   	 -61.04		
 32.96   	249.02   	 80.16   	 -61.04		 82.95   	 -55.95		
 36.01   	383.30   	 79.92   	 -61.04		 82.73   	 -61.04		
 63.48   	547.49   	 79.67   	 -61.04		 82.48   	 -55.95		
108.34   	716.55   	 79.43   	 -66.12		 82.26   	 -55.95		
144.04   	947.27   	 79.17   	 -66.12		 82.03   	 -61.04		
207.21   	1156.01   	 78.90   	 -71.21		 81.79   	 -55.95		
290.53   	1290.89   	 78.62   	 -66.12		 81.57   	 -55.95		
363.16   	1339.42(R)	 78.35   	 -71.21		 81.34   	 -61.04		
