  I     	  LVp     	  LVp'		  AO     	  AO'		
-72.02   	 21.40   	  35.61		 85.41   	 -40.69		
-75.38   	 21.55   	  35.61		 85.25   	 -40.69		
-72.33   	 21.69   	  35.61		 85.09   	 -40.69		
-66.53   	 21.83   	  25.43		 84.92   	 -45.78		
-63.17   	 21.93   	  25.43		 84.74   	 -40.69		
-64.39   	 22.03   	  15.26		 84.58   	 -40.69		
-68.66   	 22.10   	  20.35		 84.41   	 -40.69		
-72.02   	 22.18   	  15.26		 84.25   	 -45.78		
-71.72   	 22.24   	  25.43		 84.07   	 -45.78		
-67.14   	 22.34   	  25.43		 83.89   	 -50.86		
-61.65   	 22.44   	  40.69		 83.68   	 -45.78		
-57.98   	 22.60   	  55.95		 83.50   	 -45.78		
-57.98   	 22.83   	  71.21		 83.32   	 -50.86		
-60.73   	 23.11   	  86.47		 83.11   	 -45.78		
-64.70   	 23.46   	 101.73		 82.93   	 -45.78		
-68.97   	 23.87   	 111.90		 82.75   	 -40.69		
-75.68   	 24.31   	 122.07		 82.58   	 -45.78		
-86.67   	 24.80   	 127.16		 82.40   	 -35.61		
-102.84   	 25.31   	 127.16		 82.26   	 -40.69		
-122.99   	 25.82   	 122.07		 82.10   	 -35.61		
-142.21   	 26.31   	 106.82		 81.95   	 -30.52		
-151.06   	 26.73   	  91.56		 81.83   	 -35.61		
-138.24   	 27.10   	  76.30		 81.69   	 -30.52		
-88.20   	 27.41   	  55.95		 81.57   	 -35.61		
 13.43   	 27.63   	  40.69		 81.42   	 -30.52		
171.51   	 27.79   	  25.43		 81.30   	 -35.61		
377.20   	 27.89   	  10.17		 81.16   	 -35.61		
598.45   	 27.93   	  -5.09		 81.02   	 -40.69		
777.89   	 27.91   	 -15.26		 80.85   	 -40.69		
853.58(R)	 27.85   	 -15.26		 80.69   	 -40.69		
796.81   	 27.79   	 -15.26		 80.53   	 -40.69		
636.29   	 27.73(E)	  -5.09		 80.37   	 -45.78		
451.36   	 27.71   	  15.26		 80.18   	 -50.86		
325.62   	 27.77   	  45.78		 79.98   	 -45.78		
291.14   	 27.96   	  81.38		 79.80   	 -50.86		
313.72   	 28.28   	 127.16		 79.59   	 -50.86		
328.67   	 28.79   	 188.20		 79.39   	 -50.86		
292.66   	 29.54   	 259.41		 79.19   	 -55.95		
206.30   	 30.58   	 335.71		 78.96   	 -50.86		
101.32   	 31.92   	 422.18		 78.76   	 -55.95		
 11.29   	 33.61   	 513.73		 78.53   	 -50.86		
-47.00   	 35.67   	 605.29		 78.33   	 -50.86		
-72.33   	 38.09   	 701.93		 78.13   	 -50.86		
-71.72   	 40.90   	 798.57		 77.92   	 -50.86		
-57.68   	 44.09   	 905.39		 77.72   	 -50.86		
-43.03   	 47.71   	1027.46		 77.52   	 -50.86		
-37.54   	 51.82   	1159.71		 77.31   	 -45.78		
