  I     	  II     	  LV     	  LV'		  FA     	  FA'		
 21.06   	127.56   	 10.93   	  81.38		 48.42   	 -50.86		
-125.12   	 50.66   	 11.25   	  91.56		 48.22   	 -40.69		
-180.97   	-29.91   	 11.62   	 122.07		 48.06   	 -30.52		
-162.96   	-111.69   	 12.11   	 162.77		 47.93   	 -25.43		
-145.57   	-173.65   	 12.76   	 213.63		 47.83   	  -5.09		
-141.60   	-181.58   	 13.61   	 279.75		 47.81(D)	  45.78		
-108.95   	-168.76   	 14.73   	 366.22		 48.00   	  86.47		
-79.65   	-179.75   	 16.20   	 452.69		 48.34   	  96.64		
-67.14   	-166.93   	 18.01   	 549.34		 48.73   	 106.82		
-63.17   	-126.65   	 20.20   	 656.15		 49.16   	  66.12		
-57.37   	-83.92   	 22.83   	 757.88		 49.42   	 -81.38		
-60.42   	-61.04   	 25.86   	 869.78		 49.09   	-152.59		
-65.31   	-64.09   	 29.34   	 981.68		 48.48   	   5.09		
-63.78   	-85.75   	 33.27   	1098.67		 48.50   	 116.99		
-60.12   	-96.74   	 37.66   	1210.58		 48.97   	 162.77		
-67.75   	-93.08   	 42.50   	1327.56		 49.62   	 412.00		
-62.26   	-79.65   	 47.81   	1424.21		 51.27   	 747.71		
-62.56   	-84.84   	 53.51   	1520.85		 54.26   	 930.82		
-64.39   	-90.33   	 59.59   	1586.97		 57.99   	 986.77		
-57.68   	-82.70   	 65.94   	1637.84		 61.93   	1225.83		
-67.75   	-80.26   	 72.49   	1653.10		 66.84   	1256.35		
-65.92   	-79.04   	 79.10   	1642.92		 71.86   	1149.54		
-61.04   	-79.96   	 85.68   	1607.32		 76.46   	1205.49		
-64.70   	-82.09   	 92.11   	1546.28		 81.28   	 813.83		
-61.04   	-82.70   	 98.29   	1475.07		 84.54   	 269.58		
-57.98   	-78.43   	104.19   	1393.69		 85.62   	  55.95		
-60.12   	-85.14   	109.77   	1317.39		 85.84   	  -5.09		
-57.07   	-87.59   	115.04   	1236.01		 85.82   	  15.26		
-61.95   	-84.84   	119.98   	1174.97		 85.88   	 386.57		
-61.34   	-83.01   	124.68   	1108.85		 87.43   	 391.66		
-60.73   	-79.04   	129.11   	1047.81		 88.99   	 -20.35		
-58.29   	-78.74   	133.31   	 986.77		 88.91   	 457.78		
-57.98   	-84.53   	137.25   	 920.65		 90.74   	 798.57		
-57.07   	-82.40   	140.94   	 854.52		 93.94   	-162.77		
