  I     	  II     	  LV     	  LV'		  PW     	  PW'		
-20.45   	1985.78   	 33.67   	 829.09		  9.73   	 106.82		
-21.36   	2212.52   	 36.99   	 890.13		 10.15   	  91.56		
-17.40   	1912.84   	 40.55   	 946.08		 10.52   	  55.95		
-10.68   	1166.69   	 44.33   	1007.12		 10.74   	  20.35		
 -5.80   	339.97   	 48.36   	1073.24		 10.82   	 -10.17		
 -4.27   	-181.88   	 52.65   	1139.36		 10.78   	 -30.52		
 -3.05   	-253.30   	 57.21   	1185.14		 10.66   	 -40.69		
 -0.92   	 54.93   	 61.95   	1210.58		 10.50   	 -45.78		
  2.44   	570.37   	 66.80   	1200.40		 10.32   	 -40.69		
  5.49   	1100.46   	 71.60   	1159.71		 10.15   	 -25.43		
  7.93   	1476.14   	 76.24   	1078.33		 10.05   	 -15.26		
 10.68   	1596.37   	 80.55   	 981.68		  9.99   	   0.00		
 15.26   	1468.51   	 84.48   	 890.13		  9.99   	  15.26		
 21.97   	1216.13   	 88.04   	 793.49		 10.05   	  30.52		
 30.21   	1013.49   	 91.21   	 727.36		 10.17   	  40.69		
 38.15   	944.82   	 94.12   	 676.50		 10.34   	  40.69		
 44.56   	991.21   	 96.83   	 651.07		 10.50   	  45.78		
 49.74   	1068.73   	 99.43   	 635.81		 10.68   	  35.61		
 54.93   	1085.82   	101.97   	 630.72		 10.82   	  30.52		
 61.34   	1044.01   	104.50   	 625.63		 10.95   	  25.43		
 68.66   	995.79   	107.00   	 605.29		 11.05   	  15.26		
 76.29   	941.16   	109.42   	 579.86		 11.11   	   5.09		
 83.62   	845.03   	111.74   	 534.08		 11.13   	  -5.09		
 91.25   	701.29   	113.88   	 483.21		 11.11   	  -5.09		
100.40   	523.99   	115.81   	 432.35		 11.09   	 -10.17		
111.69   	327.45   	117.54   	 376.40		 11.05   	 -10.17		
125.12   	178.22   	119.04   	 330.62		 11.01   	 -15.26		
139.77   	172.12   	120.37   	 289.93		 10.95   	 -10.17		
153.50   	349.73   	121.53   	 264.50		 10.91   	  -5.09		
165.41   	676.27   	122.58   	 244.15		 10.89   	   0.00		
174.56   	1043.09   	123.56   	 233.98		 10.89   	   0.00		
182.19   	1340.64   	124.50   	 239.06		 10.89   	   5.09		
189.51   	1514.28   	125.45   	 233.98		 10.91   	  10.17		
197.75   	1609.50   	126.39   	 239.06		 10.95   	  10.17		
206.30   	1746.83   	127.34   	 223.80		 10.99   	   5.09		
213.32   	1952.21   	128.24   	 208.54		 11.01   	  10.17		
216.98   	2134.40   	129.07   	 167.85		 11.05   	   5.09		
216.06   	2214.66   	129.75   	 132.25		 11.07   	   5.09		
210.27   	2153.63   	130.27   	  81.38		 11.09   	   5.09		
200.20   	1962.28   	130.60   	  20.35		 11.11   	  10.17		
186.16   	1770.02   	130.68(S)	 -45.78		 11.15   	  15.26		
168.46   	1750.79   	130.50   	-116.99		 11.21   	  15.26		
147.71   	1938.48   	130.03   	-183.11		 11.27   	  25.43		
125.73   	2222.90   	129.30   	-233.98		 11.37   	  30.52		
104.06   	2453.31   	128.36   	-289.93		 11.50   	  30.52		
 84.53   	2476.20   	127.20   	-320.45		 11.62   	  35.61		
 66.83   	2214.66   	125.92   	-345.88		 11.76   	  30.52		
 50.05   	1802.37   	124.54   	-356.05		 11.88   	  30.52		
 32.65   	1504.52   	123.11   	-361.14		 12.00   	  30.52		
 14.95   	1507.26   	121.67   	-366.22		 12.13   	  25.43		
 -1.83   	1834.41   	120.20   	-366.22		 12.23   	  20.35		
-17.09   	2316.59   	118.74   	-371.31		 12.31   	  20.35		
-29.91   	2634.89   	117.25   	-366.22		 12.39   	  25.43		
-40.28   	2555.85   	115.79   	-366.22		 12.49   	  25.43		
-48.52   	2150.57   	114.32   	-371.31		 12.59   	  30.52		
-55.24   	1664.43   	112.84   	-371.31		 12.72   	  30.52		
-60.42   	1270.75   	111.35   	-371.31		 12.84   	  40.69		
-63.78   	984.80   	109.87   	-371.31		 13.00   	  35.61		
-66.22   	725.10   	108.38   	-366.22		 13.14   	  45.78		
-68.66   	465.70   	106.92   	-366.22		 13.33   	  40.69		
-71.41   	309.45   	105.45   	-366.22		 13.49   	  45.78		
-74.16   	369.26   	103.99   	-381.48		 13.67   	  45.78		
-76.90   	608.22   	102.46   	-406.92		 13.86   	  45.78		
-78.43   	847.47   	100.83   	-437.43		 14.04   	  50.86		
-78.74   	916.14   	 99.08   	-478.13		 14.24   	  50.86		
-78.43   	794.98   	 97.17   	-528.99		 14.45   	  55.95		
-79.04   	625.92   	 95.06   	-579.86		 14.67   	  61.04		
-80.87   	535.89   	 92.74   	-625.63		 14.91   	  66.12		
-83.31   	544.13   	 90.23   	-676.50		 15.18   	  71.21		
-84.53   	612.49   	 87.53   	-701.93		 15.46   	  71.21		
-82.70   	679.02   	 84.72   	-722.28		 15.75   	  76.30		
-79.35   	721.13   	 81.83   	-737.54		 16.05   	  76.30		
-75.99   	751.04   	 78.88   	-762.97		 16.36   	  71.21		
-74.46   	741.27   	 75.83   	-818.92		 16.64   	  76.30		
-75.38   	647.58   	 72.55   	-900.30		 16.95   	  76.30		
-77.51   	486.76   	 68.95   	-1012.20		 17.25   	  76.30		
-79.96   	346.37   	 64.90   	-1119.02		 17.56   	  81.38		
-81.48   	326.84   	 60.43   	-1220.75		 17.88   	  71.21		
-81.79   	459.59   	 55.54   	-1271.61		 18.17   	  66.12		
-80.87   	681.76   	 50.46   	-1281.79		 18.43   	  61.04		
-79.04   	900.88   	 45.33   	-1236.01		 18.68   	  45.78		
-77.51   	1054.99   	 40.39   	-1129.19		 18.86   	  45.78		
-76.60   	1131.90   	 35.87   	-996.94		 19.04   	  40.69		
-75.99   	1128.23   	 31.88   	-844.35		 19.21   	  40.69		
-75.07   	1038.21   	 28.50   	-691.76		 19.37   	  50.86		
-73.85   	877.69   	 25.74   	-559.51		 19.57   	  66.12		
-72.33   	670.78   	 23.50   	-467.95		 19.84   	  81.38		
-70.80   	474.55   	 21.63   	-417.09		 20.16   	 101.73		
-69.27   	364.69   	 19.96   	-391.66		 20.57   	 122.07		
-67.75   	349.43   	 18.39   	-391.66		 21.06   	 137.33		
-66.22   	382.69   	 16.83   	-396.74		 21.61   	 137.33		
-64.09   	400.70   	 15.24   	-401.83		 22.16   	 142.42		
-62.56   	367.74   	 13.63   	-386.57		 22.73   	 132.25		
-61.65   	336.00   	 12.09   	-350.97		 23.26   	 122.07		
-62.26   	421.75   	 10.68   	-300.10		 23.74   	 106.82		
-63.48   	664.06   	  9.48   	-228.89		 24.17   	  86.47		
-65.31   	958.25   	  8.57   	-157.68		 24.52   	  76.30		
-66.22   	1147.77   	  7.93   	 -86.47		 24.82   	  55.95		
-65.92   	1143.19   	  7.59   	 -30.52		 25.05   	  45.78		
-65.31   	1008.91   	  7.47   	   5.09		 25.23   	  35.61		
-64.39   	908.51   	  7.49   	  25.43		 25.37   	  30.52		
-63.48   	932.62   	  7.59   	  20.35		 25.49   	  20.35		
-62.87   	998.54   	  7.67   	  15.26		 25.57   	  15.26		
-63.17   	955.20   	  7.73   	 -10.17		 25.64   	  15.26		
-64.39   	729.06   	  7.69   	 -25.43		 25.70   	   5.09		
-65.61   	393.37   	  7.59   	 -35.61		 25.72   	   5.09		
-64.70   	155.03   	  7.45   	 -30.52		 25.74   	   0.00		
-59.51   	173.03   	  7.32   	 -25.43		 25.74   	   0.00		
-50.05   	415.65   	  7.22(D)	   0.00		 25.74   	  -5.09		
-38.76   	715.94   	  7.22   	  35.61		 25.72   	  -5.09		
-29.91   	914.92   	  7.37   	  66.12		 25.70   	 -15.26		
-25.63   	975.34   	  7.63   	 101.73		 25.64   	 -15.26		
-24.72   	984.50   	  8.04   	 122.07		 25.57   	 -15.26		
-24.41   	1036.68   	  8.52   	 147.51		 25.51   	 -15.26		
-22.58   	1155.40   	  9.11   	 152.59		 25.45   	 -20.35		
-18.92   	1300.96   	  9.73   	 152.59		 25.37   	 -15.26		
-16.48   	1418.76   	 10.34   	 147.51		 25.31   	 -20.35		
-16.17   	1480.41   	 10.93   	 137.33		 25.23   	 -15.26		
-17.09   	1464.54   	 11.48   	 122.07		 25.17   	 -25.43		
-17.40   	1340.64   	 11.96   	 111.90		 25.07   	 -25.43		
-15.87   	1127.32   	 12.41   	 106.82		 24.96   	 -25.43		
-13.12   	932.92   	 12.84   	  96.64		 24.86   	 -30.52		
 -9.77   	881.35   	 13.22   	  91.56		 24.74   	 -30.52		
 -6.10   	1009.83   	 13.59   	  91.56		 24.62   	 -35.61		
 -1.22   	1227.42   	 13.96   	  86.47		 24.48   	 -30.52		
  3.36   	1389.16   	 14.30   	  86.47		 24.35   	 -30.52		
  5.19   	1392.21   	 14.65   	  81.38		 24.23   	 -35.61		
  1.22   	1257.02   	 14.97   	  81.38		 24.09   	 -35.61		
 -9.16   	1094.97   	 15.30   	  71.21		 23.95   	 -30.52		
-25.33   	1006.47   	 15.58   	  66.12		 23.82   	 -35.61		
-44.25   	1012.27   	 15.85   	  61.04		 23.68   	 -35.61		
-62.87   	1055.60   	 16.09   	  55.95		 23.54   	 -35.61		
-79.04   	1069.34   	 16.32   	  45.78		 23.40   	 -40.69		
-90.33   	1018.98   	 16.50   	  35.61		 23.23   	 -40.69		
-95.52   	921.02   	 16.64   	  30.52		 23.07   	 -40.69		
-95.83   	835.27   	 16.76   	  25.43		 22.91   	 -35.61		
-93.69   	823.97   	 16.87   	  25.43		 22.77   	 -30.52		
-91.55   	913.09   	 16.97   	  20.35		 22.64   	 -20.35		
-90.33   	1058.35   	 17.05   	  25.43		 22.56   	 -10.17		
-90.03   	1155.70   	 17.15   	  25.43		 22.52   	   0.00		
-89.11   	1101.07   	 17.25   	  30.52		 22.52   	  10.17		
-87.28   	879.82   	 17.38   	  25.43		 22.56   	  15.26		
-84.53   	586.85   	 17.48   	  30.52		 22.62   	  20.35		
-81.79   	390.93   	 17.60   	  35.61		 22.71   	  15.26		
-79.96   	432.13   	 17.74   	  30.52		 22.77   	   5.09		
-79.35   	688.78   	 17.86   	  35.61		 22.79   	  -5.09		
-80.57   	995.48   	 18.01   	  35.61		 22.77   	 -15.26		
-83.92   	1170.65   	 18.15   	  40.69		 22.71   	 -20.35		
-92.47   	1125.79   	 18.31   	  40.69		 22.62   	 -20.35		
-107.73   	899.05   	 18.47   	  40.69		 22.54   	 -15.26		
-129.70   	624.69   	 18.64   	  45.78		 22.48   	 -10.17		
-155.03   	457.76   	 18.82   	  40.69		 22.44   	   5.09		
-179.14   	476.68   	 18.98   	  45.78		 22.46   	  20.35		
-195.31   	670.78   	 19.17   	  45.78		 22.54   	  25.43		
-194.40   	989.07   	 19.35   	  45.78		 22.64   	  35.61		
-163.88   	1372.68   	 19.53   	  50.86		 22.79   	  35.61		
-86.36   	1783.14   	 19.74   	  50.86		 22.93   	  30.52		
 49.74   	2191.47   	 19.94   	  50.86		 23.05   	  25.43		
241.39   	2546.39   	 20.14   	  55.95		 23.15   	  15.26		
460.82   	2778.93   	 20.37   	  55.95		 23.21   	   5.09		
650.94   	2825.93   	 20.59   	  66.12		 23.23   	  -5.09		
744.32   	2671.81   	 20.85   	  71.21		 23.21   	 -10.17		
700.68   	2374.88   	 21.14   	  76.30		 23.17   	 -10.17		
538.64   	2037.96   	 21.44   	  96.64		 23.13   	 -15.26		
334.17   	1757.81   	 21.83   	 111.90		 23.07   	 -10.17		
181.58   	1600.95   	 22.28   	 132.25		 23.03   	   0.00		
131.84   	1600.04   	 22.81   	 157.68		 23.03   	  15.26		
164.49   	1728.52   	 23.44   	 198.37		 23.09   	  20.35		
212.71   	1901.55   	 24.23   	 233.98		 23.17   	  35.61		
217.59   	2019.35   	 25.17   	 295.01		 23.32   	  45.78		
164.79   	2064.82   	 26.35   	 361.14		 23.50   	  50.86		
 78.74   	2120.06   	 27.79   	 442.52		 23.70   	  50.86		
 -4.88   	2258.00   	 29.56   	 534.08		 23.91   	  40.69		
-62.87   	2478.64   	 31.70   	 635.81		 24.07   	  35.61		
-89.11   	2680.05   	 34.24   	 742.62		 24.21   	  20.35		
-87.89   	2699.89   	 37.21   	 844.35		 24.29   	   5.09		
-71.11   	2499.69   	 40.59   	 946.08		 24.31   	  -5.09		
-52.80   	2202.76   	 44.37   	1037.64		 24.29   	 -15.26		
-44.25   	1933.59   	 48.52   	1119.02		 24.23   	 -20.35		
-47.30   	1710.82   	 53.00   	1185.14		 24.15   	 -20.35		
-54.63   	1487.73   	 57.74   	1236.01		 24.07   	 -20.35		
-57.98   	1250.61   	 62.69   	1261.44		 23.99   	  -5.09		
-55.24   	1083.07   	 67.73   	1256.35		 23.97   	   5.09		
-49.44   	1110.53   	 72.76   	1225.83		 23.99   	  20.35		
-44.86   	1330.87   	 77.66   	1169.88		 24.07   	  40.69		
-42.11   	1551.21   	 82.34   	1103.76		 24.23   	  45.78		
-39.37   	1551.82   	 86.75   	1032.55		 24.41   	  55.95		
-36.32   	1310.12   	 90.88   	 961.34		 24.64   	  61.04		
-33.26   	1011.96   	 94.73   	 900.30		 24.88   	  55.95		
-30.21   	880.13   	 98.33   	 849.44		 25.11   	  45.78		
-26.86   	1006.47   	101.73   	 813.83		 25.29   	  40.69		
-22.58   	1282.35   	104.98   	 778.23		 25.45   	  25.43		
-18.01   	1510.62   	108.10   	 747.71		 25.55   	  15.26		
-13.12   	1585.39   	111.09   	 722.28		 25.62   	   5.09		
 -7.93   	1530.76   	113.98   	 686.67		 25.64   	   5.09		
 -2.44   	1434.94   	116.72   	 651.07		 25.66   	  -5.09		
  3.36   	1346.13   	119.33   	 620.55		 25.64   	  -5.09		
  9.46   	1281.13   	121.81   	 579.86		 25.62   	  -5.09		
 15.87   	1273.19   	124.13   	 549.34		 25.60   	  -5.09		
 21.97   	1350.71   	126.33   	 508.65		 25.57   	  -5.09		
 27.77   	1518.86   	128.36   	 462.87		 25.55   	 -10.17		
 33.87   	1745.61   	130.21   	 417.09		 25.51   	  -5.09		
 40.89   	1925.96   	131.88   	 361.14		 25.49   	 -10.17		
 48.22   	1947.02   	133.33   	 320.45		 25.45   	 -15.26		
 55.85   	1800.84   	134.61   	 289.93		 25.39   	 -10.17		
 63.78   	1591.49   	135.77   	 274.67		 25.35   	 -10.17		
 71.41   	1470.95   	136.87   	 274.67		 25.31   	 -15.26		
 79.35   	1538.09   	137.96   	 300.10		 25.25   	 -20.35		
 88.20   	1754.46   	139.17   	 330.62		 25.17   	 -20.35		
 97.66   	1987.00   	140.49   	 356.05		 25.09   	 -25.43		
107.73   	2102.36   	141.91   	 366.22		 24.98   	 -25.43		
118.10   	2049.87   	143.38   	 345.88		 24.88   	 -30.52		
128.17   	1901.25   	144.76   	 295.01		 24.76   	 -35.61		
136.41   	1774.90   	145.94   	 213.63		 24.62   	 -30.52		
142.21   	1739.20   	146.79   	 116.99		 24.50   	 -30.52		
144.96   	1788.64   	147.26   	  10.17		 24.37   	 -25.43		
144.65   	1841.13   	147.30(S)	 -81.38		 24.27   	 -20.35		
141.30   	1783.45   	146.98   	-162.77		 24.19   	 -15.26		
134.89   	1582.34   	146.33   	-228.89		 24.13   	 -15.26		
124.82   	1351.01   	145.41   	-279.75		 24.07   	 -10.17		
111.39   	1302.80   	144.29   	-310.27		 24.03   	  -5.09		
 96.13   	1588.13   	143.05   	-335.71		 24.01   	   0.00		
 80.87   	2126.77   	141.71   	-330.62		 24.01   	   0.00		
 66.22   	2620.54   	140.39   	-315.36		 24.01   	   5.09		
 52.19   	2772.83   	139.12   	-269.58		 24.03   	   0.00		
 38.45   	2534.18   	138.05   	-218.72		 24.03   	   5.09		
 23.80   	2136.54   	137.17   	-167.85		 24.05   	   5.09		
  9.16   	1893.31   	136.50   	-157.68		 24.07   	  10.17		
 -5.49   	1950.68   	135.87   	-183.11		 24.11   	  10.17		
-18.92   	2210.08   	135.14   	-249.24		 24.15   	  10.17		
-30.82   	2479.55   	134.14   	-350.97		 24.19   	  15.26		
-41.20   	2675.78   	132.74   	-442.52		 24.25   	  15.26		
-50.05   	2842.10   	130.97   	-508.65		 24.31   	  20.35		
-57.37   	3013.92   	128.93   	-539.16		 24.39   	  25.43		
-63.17   	3147.58   	126.77   	-513.73		 24.50   	  25.43		
-67.75   	3150.02   	124.72   	-437.43		 24.60   	  25.43		
-71.72   	2983.70   	122.97   	-345.88		 24.70   	  20.35		
-75.38   	2738.95   	121.59   	-254.32		 24.78   	  20.35		
-78.74   	2597.66   	120.57   	-198.37		 24.86   	  15.26		
-81.48   	2658.08   	119.78   	-183.11		 24.92   	  15.26		
-83.62   	2826.54   	119.04   	-218.72		 24.98   	  15.26		
-84.84   	2937.01   	118.17   	-284.84		 25.05   	  15.26		
-85.45   	2883.91   	117.03   	-361.14		 25.11   	  25.43		
-85.45   	2709.05   	115.58   	-442.52		 25.21   	  25.43		
-85.14   	2590.64   	113.81   	-503.56		 25.31   	  30.52		
-84.84   	2638.55   	111.80   	-554.42		 25.43   	  40.69		
-84.53   	2761.84   	109.58   	-600.20		 25.60   	  40.69		
-84.23   	2789.92   	107.18   	-640.89		 25.76   	  40.69		
-83.62   	2612.92   	104.62   	-681.58		 25.92   	  45.78		
-82.40   	2244.57   	101.89   	-722.28		 26.10   	  40.69		
-80.87   	1793.82   	 99.00   	-757.88		 26.27   	  45.78		
-79.65   	1373.60   	 95.97   	-783.31		 26.45   	  35.61		
-79.04   	1044.62   	 92.84   	-803.66		 26.59   	  40.69		
-79.04   	839.54   	 89.62   	-803.66		 26.75   	  35.61		
-78.74   	815.12   	 86.41   	-818.92		 26.90   	  40.69		
-77.82   	1005.86   	 83.13   	-849.44		 27.06   	  45.78		
-75.99   	1342.16   	 79.74   	-900.30		 27.24   	  40.69		
-73.85   	1727.91   	 76.13   	-981.68		 27.41   	  40.69		
-72.33   	2094.42   	 72.21   	-1063.07		 27.57   	  20.35		
-71.72   	2358.70   	 67.95   	-1134.28		 27.65   	  15.26		
-72.33   	2425.84   	 63.42   	-1195.32		 27.71   	   0.00		
-72.94   	2233.28   	 58.64   	-1210.58		 27.71   	   0.00		
-73.55   	1820.68   	 53.79   	-1190.23		 27.71   	   5.09		
-73.24   	1361.39   	 49.03   	-1119.02		 27.73   	  15.26		
-72.33   	1091.92   	 44.56   	-1027.46		 27.79   	  35.61		
-71.11   	1151.73   	 40.45   	-900.30		 27.93   	  50.86		
-70.50   	1489.87   	 36.85   	-773.14		 28.14   	  71.21		
-69.89   	1923.83   	 33.75   	-656.15		 28.42   	  81.38		
-69.89   	2268.68   	 31.13   	-559.51		 28.75   	  86.47		
-69.89   	2435.30   	 28.89   	-488.30		 29.09   	  91.56		
-69.89   	2432.56   	 26.94   	-432.35		 29.46   	  86.47		
-69.89   	2309.27   	 25.21   	-401.83		 29.81   	  81.38		
-70.50   	2159.12   	 23.60   	-376.40		 30.13   	  81.38		
-71.11   	2070.01   	 22.10   	-361.14		 30.46   	  71.21		
-70.80   	2054.44   	 20.65   	-340.79		 30.74   	  66.12		
-69.89   	2102.36   	 19.29   	-315.36		 31.01   	  61.04		
-68.97   	2171.02   	 18.03   	-289.93		 31.25   	  61.04		
-68.05   	2219.85   	 16.87   	-254.32		 31.50   	  45.78		
-67.44   	2258.91   	 15.85   	-223.80		 31.68   	  40.69		
-67.14   	2275.39   	 14.95   	-183.11		 31.84   	  35.61		
-67.14   	2211.00   	 14.22   	-147.51		 31.98   	  20.35		
-67.75   	2027.28   	 13.63   	-111.90		 32.06   	  10.17		
-68.66   	1759.34   	 13.18   	 -81.38		 32.11   	  -5.09		
-69.89   	1513.98   	 12.86   	 -55.95		 32.09   	 -10.17		
-70.19   	1397.09   	 12.63   	 -30.52		 32.04   	 -15.26		
-69.58   	1442.87   	 12.51   	 -10.17		 31.98   	 -25.43		
-66.83   	1567.38   	 12.47(D)	   0.00		 31.88   	 -20.35		
-61.95   	1622.01   	 12.47   	  10.17		 31.80   	 -25.43		
-54.32   	1519.47   	 12.51   	  15.26		 31.70   	 -20.35		
-45.17   	1276.25   	 12.57   	  25.43		 31.62   	 -15.26		
-36.93   	986.02   	 12.68   	  30.52		 31.56   	 -20.35		
-31.13   	752.56   	 12.80   	  35.61		 31.47   	 -20.35		
-28.08   	658.87   	 12.94   	  35.61		 31.39   	 -20.35		
-25.63   	737.30   	 13.08   	  45.78		 31.31   	 -20.35		
-21.97   	964.05   	 13.27   	  50.86		 31.23   	 -30.52		
-17.09   	1302.80   	 13.47   	  50.86		 31.11   	 -35.61		
-13.12   	1685.18   	 13.67   	  55.95		 30.97   	 -40.69		
-12.51   	1976.62   	 13.90   	  61.04		 30.80   	 -45.78		
-15.26   	2057.50   	 14.14   	  61.04		 30.62   	 -50.86		
-18.01   	1888.43   	 14.38   	  61.04		 30.42   	 -55.95		
-18.31   	1523.44   	 14.63   	  61.04		 30.19   	 -61.04		
-15.87   	1123.66   	 14.87   	  55.95		 29.95   	 -55.95		
-11.90   	852.97   	 15.10   	  50.86		 29.73   	 -55.95		
 -7.93   	769.96   	 15.30   	  45.78		 29.50   	 -55.95		
 -4.27   	835.27   	 15.48   	  35.61		 29.28   	 -55.95		
 -0.61   	979.61   	 15.63   	  35.61		 29.05   	 -55.95		
  2.44   	1154.17   	 15.77   	  30.52		 28.83   	 -50.86		
  2.14   	1322.94   	 15.89   	  25.43		 28.63   	 -50.86		
 -4.27   	1458.74   	 15.99   	  30.52		 28.42   	 -50.86		
-18.31   	1517.64   	 16.11   	  30.52		 28.22   	 -50.86		
-38.45   	1481.02   	 16.24   	  30.52		 28.02   	 -55.95		
-60.73   	1380.92   	 16.36   	  40.69		 27.79   	 -50.86		
-80.57   	1273.50   	 16.52   	  40.69		 27.59   	 -45.78		
-94.30   	1156.92   	 16.68   	  40.69		 27.41   	 -45.78		
-100.71   	991.52   	 16.85   	  50.86		 27.22   	 -45.78		
-101.93   	787.66   	 17.05   	  45.78		 27.04   	 -35.61		
-100.40   	629.88   	 17.23   	  45.78		 26.90   	 -30.52		
-98.57   	663.76   	 17.42   	  45.78		 26.78   	 -25.43		
-96.74   	974.73   	 17.60   	  40.69		 26.67   	 -20.35		
-93.99   	1471.25   	 17.76   	  35.61		 26.59   	 -15.26		
-90.94   	1954.65   	 17.90   	  35.61		 26.53   	 -15.26		
-88.20   	2236.63   	 18.05   	  30.52		 26.47   	 -10.17		
-86.67   	2208.25   	 18.17   	  30.52		 26.43   	 -15.26		
-86.67   	1920.17   	 18.29   	  30.52		 26.37   	 -20.35		
-87.28   	1548.77   	 18.41   	  35.61		 26.29   	 -25.43		
-87.28   	1280.82   	 18.56   	  45.78		 26.19   	 -30.52		
-86.67   	1254.27   	 18.74   	  55.95		 26.06   	 -35.61		
-87.28   	1470.34   	 18.96   	  66.12		 25.92   	 -40.69		
-91.86   	1763.61   	 19.23   	  81.38		 25.76   	 -45.78		
-102.84   	1941.53   	 19.55   	  96.64		 25.57   	 -40.69		
-119.93   	1899.72   	 19.94   	 101.73		 25.41   	 -40.69		
-141.60   	1676.03   	 20.35   	 111.90		 25.25   	 -35.61		
-163.88   	1416.93   	 20.79   	 116.99		 25.11   	 -30.52		
-180.97   	1252.44   	 21.26   	 106.82		 24.98   	 -25.43		
-185.55   	1248.47   	 21.69   	 101.73		 24.88   	 -20.35		
-166.02   	1425.78   	 22.10   	  91.56		 24.80   	 -15.26		
-105.59   	1727.91   	 22.46   	  76.30		 24.74   	 -15.26		
 10.38   	2009.28   	 22.77   	  66.12		 24.68   	 -15.26		
186.16   	2103.27   	 23.03   	  55.95		 24.62   	 -10.17		
406.49   	1925.96   	 23.26   	  50.86		 24.58   	 -15.26		
627.14   	1569.21   	 23.46   	  45.78		 24.52   	 -10.17		
780.94   	1275.02   	 23.64   	  40.69		 24.48   	 -15.26		
809.33   	1223.75   	 23.80   	  50.86		 24.41   	 -10.17		
703.43   	1354.68   	 24.01   	  55.95		 24.37   	 -15.26		
516.97   	1427.00   	 24.23   	  76.30		 24.31   	 -15.26		
342.10   	1231.08   	 24.54   	  96.64		 24.25   	 -15.26		
251.16   	820.62   	 24.92   	 127.16		 24.19   	 -10.17		
249.33   	470.28   	 25.43   	 172.94		 24.15   	 -15.26		
282.90   	432.74   	 26.12   	 233.98		 24.09   	 -15.26		
287.78   	766.91   	 27.06   	 300.10		 24.03   	 -10.17		
235.60   	1295.78   	 28.26   	 391.66		 23.99   	  -5.09		
142.82   	1763.31   	 29.83   	 493.39		 23.97   	   5.09		
 43.33   	2039.80   	 31.80   	 600.20		 23.99   	  20.35		
-34.18   	2170.11   	 34.20   	 717.19		 24.07   	  25.43		
-79.35   	2240.60   	 37.07   	 844.35		 24.17   	  25.43		
-93.99   	2268.68   	 40.45   	 966.43		 24.27   	  25.43		
-86.06   	2204.90   	 44.31   	1098.67		 24.37   	  15.26		
-68.97   	1979.98   	 48.71   	1230.92		 24.44   	   5.09		
-56.15   	1624.15   	 53.63   	1337.74		 24.46   	   0.00		
-54.93   	1271.06   	 58.98   	1414.03		 24.46   	 -10.17		
-61.34   	1058.04   	 64.64   	1434.38		 24.41   	 -15.26		
-67.14   	1058.04   	 70.38   	1398.77		 24.35   	 -15.26		
-66.53   	1255.49   	 75.97   	1317.39		 24.29   	 -20.35		
-61.34   	1590.58   	 81.24   	1195.32		 24.21   	 -20.35		
-55.54   	1969.30   	 86.02   	1063.07		 24.13   	 -10.17		
-52.19   	2262.88   	 90.27   	 935.91		 24.09   	 -10.17		
-50.66   	2389.22   	 94.02   	 844.35		 24.05   	   0.00		
-48.52   	2348.94   	 97.40   	 788.40		 24.05   	  10.17		
-45.78   	2237.85   	100.55   	 768.05		 24.09   	  20.35		
-41.50   	2194.52   	103.62   	 783.31		 24.17   	  15.26		
-36.93   	2292.79   	106.75   	 808.75		 24.23   	  20.35		
-32.04   	2439.88   	109.99   	 834.18		 24.31   	  15.26		
-26.86   	2350.16   	113.33   	 849.44		 24.37   	  10.17		
-22.28   	1853.33   	116.72   	 844.35		 24.41   	   5.09		
-18.01   	1134.64   	120.10   	 813.83		 24.44   	   5.09		
-13.73   	585.63   	123.36   	 762.97		 24.46   	  -5.09		
 -9.46   	621.95   	126.41   	 696.84		 24.44   	   0.00		
 -4.27   	1338.81   	129.20   	 620.55		 24.44   	   0.00		
  1.53   	2279.97   	131.68   	 534.08		 24.44   	   0.00		
  8.85   	2770.08   	133.81   	 447.61		 24.44   	   0.00		
 16.17   	2431.95   	135.60   	 366.22		 24.44   	   5.09		
 22.89   	1471.25   	137.07   	 300.10		 24.46   	   5.09		
 28.99   	445.25   	138.27   	 264.50		 24.48   	   5.09		
 34.79   	-173.34   	139.33   	 244.15		 24.50   	   5.09		
 41.20   	-216.98   	140.30   	 259.41		 24.52   	   5.09		
 49.13   	116.27   	141.34   	 289.93		 24.54   	   0.00		
 58.29   	622.25   	142.50   	 330.62		 24.54   	   0.00		
 68.36   	1337.28   	143.82   	 361.14		 24.54   	  -5.09		
 78.74   	2230.84   	145.27   	 366.22		 24.52   	 -15.26		
 88.50   	2981.26   	146.73   	 356.05		 24.46   	 -15.26		
 98.27   	3184.81   	148.16   	 320.45		 24.39   	 -25.43		
107.42   	2651.37   	149.44   	 259.41		 24.29   	 -25.43		
115.66   	1630.55   	150.48   	 193.29		 24.19   	 -30.52		
123.60   	747.68   	151.25   	 111.90		 24.07   	 -30.52		
130.31   	514.22   	151.70   	  30.52		 23.95   	 -30.52		
135.19   	902.10   	151.82(S)	 -30.52		 23.82   	 -30.52		
136.72   	1489.56   	151.70   	 -96.64		 23.70   	 -25.43		
134.58   	1882.93   	151.31   	-137.33		 23.60   	 -30.52		
128.48   	1994.63   	150.76   	-178.03		 23.48   	 -25.43		
119.32   	2010.19   	150.05   	-208.54		 23.38   	 -25.43		
107.42   	2178.04   	149.22   	-233.98		 23.28   	 -25.43		
