  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-66.22   	-75.38   	 16.54   	  20.35		 72.19   	 -96.64		
-75.38   	-73.24   	 16.62   	  20.35		 71.80   	 -96.64		
-79.96   	-69.27   	 16.70   	  30.52		 71.41   	 -91.56		
-108.64   	-35.71   	 16.83   	  40.69		 71.05   	 -91.56		
-149.84   	 18.01   	 16.99   	  45.78		 70.68   	 -86.47		
-157.17   	 92.47   	 17.17   	  50.86		 70.34   	 -81.38		
-141.60   	172.73   	 17.38   	  66.12		 70.01   	 -81.38		
-90.64   	256.65   	 17.64   	  71.21		 69.68   	 -76.30		
 55.85   	325.01   	 17.92   	  76.30		 69.38   	 -71.21		
259.40   	387.57   	 18.23   	  81.38		 69.09   	 -71.21		
497.74   	419.92   	 18.56   	  86.47		 68.81   	 -66.12		
759.58   	279.54   	 18.90   	  91.56		 68.55   	 -66.12		
977.48   	-75.99   	 19.27   	  96.64		 68.28   	 -61.04		
1118.16   	-529.79   	 19.65   	  96.64		 68.04   	 -66.12		
1120.30   	-999.15   	 20.04   	 101.73		 67.77   	 -61.04		
1014.40   	-1284.79   	 20.45   	 101.73		 67.53   	 -61.04		
873.72   	-1349.79(R)	 20.85(E)	 101.73		 67.28   	 -66.12		
714.72   	-1336.36   	 21.26   	 111.90		 67.02   	 -66.12		
591.74   	-1236.88   	 21.71   	 116.99		 66.75   	 -66.12		
509.64   	-1111.76   	 22.18   	 142.42		 66.49   	 -66.12		
401.31   	-910.03   	 22.75   	 162.77		 66.23   	 -71.21		
278.02   	-599.67   	 23.40   	 213.63		 65.94   	 -71.21		
149.23   	-345.46   	 24.25   	 264.50		 65.66   	 -71.21		
 26.86   	-169.37   	 25.31   	 345.88		 65.37   	 -71.21		
-35.71   	-93.38   	 26.69   	 437.43		 65.09   	 -71.21		
-64.70   	-75.38   	 28.44   	 559.51		 64.80   	 -61.04		
-80.87   	-57.68   	 30.68   	 691.76		 64.56   	 -61.04		
-82.09   	-49.44   	 33.45   	 834.18		 64.31   	 -50.86		
-83.31   	-40.89   	 36.79   	 971.51		 64.11   	 -35.61		
-99.49   	-40.59   	 40.67   	1113.93		 63.97   	 -20.35		
-98.57   	-43.95   	 45.13   	1220.75		 63.89(D)	   0.00		
-85.45   	-28.69   	 50.01   	1307.22		 63.89   	  15.26		
-89.42   	-20.14   	 55.24   	1373.34		 63.95   	  40.69		
-86.67   	-12.51   	 60.73   	1408.95		 64.11   	  61.04		
-78.43   	 -6.10   	 66.37   	1419.12		 64.35   	  86.47		
-85.45   	-10.68   	 72.04   	1419.12		 64.70   	 106.82		
-84.53   	 -2.75   	 77.72   	1398.77		 65.13   	 127.16		
-90.94   	  4.27   	 83.32   	1388.60		 65.64   	 147.51		
-101.01   	 -3.66   	 88.87   	1368.26		 66.23   	 162.77		
-101.62   	 -0.92   	 94.34   	1358.08		 66.88   	 178.03		
-106.20   	  4.58   	 99.78   	1342.82		 67.59   	 203.46		
-100.40   	  0.92   	105.15   	1327.56		 68.40   	 213.63		
-86.36   	  3.97   	110.46   	1312.30		 69.26   	 239.06		
-90.03   	  7.63   	115.71   	1271.61		 70.21   	 254.32		
-85.75   	 14.04   	120.79   	1225.83		 71.23   	 269.58		
-84.23   	 13.73   	125.70   	1164.80		 72.31   	 289.93		
-93.38   	 11.29   	130.36   	1113.93		 73.47   	 305.19		
-91.55   	 20.14   	134.81   	1057.98		 74.69   	 325.53		
-86.06   	 23.19   	139.04   	1017.29		 75.99   	 335.71		
-91.25   	 28.99   	143.11   	 971.51		 77.33   	 345.88		
-96.44   	 33.26   	147.00   	 940.99		 78.72   	 356.05		
-89.42   	 35.10   	150.76   	 905.39		 80.14   	 361.14		
-78.74   	 42.72   	154.38   	 874.87		 81.59   	 366.22		
-73.55   	 50.05   	157.88   	 849.44		 83.05   	 371.31		
-69.89   	 63.48   	161.28   	 829.09		 84.54   	 376.40		
-75.07   	 70.19   	164.60   	 829.09		 86.04   	 381.48		
-88.81   	 69.58   	167.91   	 839.26		 87.57   	 396.74		
-96.13   	 75.99   	171.27   	 869.78		 89.16   	 412.00		
-94.30   	 85.14   	174.75   	 890.13		 90.80   	 432.35		
-90.64   	 94.91   	178.31   	 895.22		 92.53   	 457.78		
-95.21   	111.39   	181.89   	 874.87		 94.36   	 478.13		
-93.69   	123.29   	185.39   	 818.92		 96.28   	 503.56		
-83.62   	138.55   	188.67   	 727.36		 98.29   	 518.82		
-76.60   	153.81   	191.58   	 630.72		100.37   	 528.99		
-77.82   	165.10   	194.10   	 528.99		102.48   	 544.25		
-52.80   	201.42   	196.21   	 447.61		104.66   	 549.34		
-55.24   	214.84   	198.01   	 386.57		106.86   	 554.42		
-60.73   	235.60   	199.55   	 356.05		109.07   	 549.34		
-56.46   	266.11   	200.98   	 350.97		111.27   	 544.25		
-61.65   	285.34   	202.38   	 356.05		113.45   	 549.34		
-53.41   	317.69   	203.80   	 381.48		115.65   	 544.25		
-23.19   	344.54   	205.33   	 386.57		117.82   	 544.25		
  0.92   	370.79   	206.88   	 391.66		120.00   	 534.08		
 15.26   	388.49   	208.44   	 371.31		122.14   	 528.99		
