  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-93.69   	-100.40   	 42.73   	1592.06		 73.43(D)	  66.12		
-86.98   	-101.32   	 49.09   	2024.41		 73.69   	   0.00		
-89.72   	-104.68   	 57.19   	2517.79		 73.69   	 -10.17		
-94.30   	-106.81   	 67.26   	2990.83		 73.65   	 172.94		
-95.21   	-107.12   	 79.23   	3316.37		 74.34   	 300.10		
-92.47   	-105.59   	 92.49   	3321.45		 75.54   	 305.19		
-87.59   	-103.45   	105.78   	2843.33		 76.76   	 427.26		
-83.31   	-101.32   	117.15   	2019.32		 78.47   	 534.08		
-80.57   	-100.40   	125.23   	1317.39		 80.61   	 544.25		
-78.74   	-99.49   	130.50   	 371.31		 82.79   	 574.77		
-76.90   	-97.35   	131.98   	-437.43		 85.09   	 544.25		
-74.46   	-93.69   	130.23   	-630.72		 87.26   	 376.40		
-71.72   	-88.81   	127.71   	-874.87		 88.77   	 447.61		
-69.58   	-83.92   	124.21   	-1083.41		 90.56   	 432.35		
-68.36   	-80.26   	119.88   	-829.09		 92.29   	  15.26		
-66.83   	-78.13   	116.56   	-325.53		 92.35   	 101.73		
-65.00   	-77.21   	115.26   	 279.75		 92.76   	 361.14		
-62.87   	-76.90   	116.38   	 930.82		 94.20   	 142.42		
-60.73   	-76.60   	120.10   	1637.84		 94.77   	  40.69		
-59.20   	-74.46   	126.65   	2319.42		 94.93   	 452.69		
-57.68   	-69.89   	135.93   	2563.57		 96.74   	 976.60		
-55.54   	-63.48   	146.18   	2380.46		100.65   	 854.52		
-52.49   	-56.46   	155.71   	1785.34		104.07   	 590.03		
-48.52   	-50.66   	162.85   	 798.57		106.43   	 574.77		
-43.95   	-47.00   	166.04(S)	-259.41		108.73   	 289.93		
-39.37   	-43.95   	165.00   	-1281.79		109.89   	  66.12		
-35.40   	-39.98   	159.88   	-1861.64		110.15   	  -5.09		
-31.74   	-33.26   	152.43   	-1734.48		110.13   	  10.17		
-28.38   	-25.02   	145.49   	-1317.39		110.17   	 213.63		
-24.72   	-16.48   	140.22   	-712.10		111.03   	 198.37		
-20.45   	 -9.16   	137.37   	 -40.69		111.82   	 183.11		
