  I     	  II     	  AOp     	  AOp'		
-43.95   	-51.88   	128.10   	 -91.56		
-51.88   	-64.09   	127.73   	-106.82		
-61.04   	-75.38   	127.30   	-122.07		
-65.92   	-80.26   	126.82   	-142.42		
-64.39   	-77.82   	126.25   	-157.68		
-58.29   	-72.63   	125.61   	-183.11		
-52.19   	-68.97   	124.88   	-203.46		
-50.05   	-68.66   	124.07   	-228.89		
-53.41   	-69.58   	123.15   	-259.41		
-60.12   	-68.66   	122.12   	-274.67		
-65.00   	-65.92   	121.02   	-305.19		
-63.17   	-62.26   	119.80   	-320.45		
-54.63   	-59.20   	118.51   	-335.71		
-43.33   	-57.98   	117.17   	-340.79		
-36.32   	-57.98   	115.81   	-350.97		
-36.32   	-58.90   	114.40   	-345.88		
-41.81   	-60.73   	113.02   	-340.79		
-47.30   	-61.95   	111.66   	-325.53		
-49.44   	-62.87   	110.36   	-315.36		
-48.22   	-63.48   	109.09   	-289.93		
-46.08   	-63.17   	107.93   	-274.67		
-45.17   	-62.87   	106.84   	-254.32		
-45.17   	-63.48   	105.82   	-228.89		
-46.69   	-65.31   	104.90   	-208.54		
-49.74   	-68.66   	104.07   	-193.29		
-52.49   	-70.80   	103.30   	-172.94		
-52.80   	-69.27   	102.60   	-162.77		
-48.22   	-63.78   	101.95   	-147.51		
-39.98   	-56.76   	101.36   	-142.42		
-30.82   	-51.88   	100.79   	-132.25		
-25.33   	-50.66   	100.26   	-127.16		
-25.33   	-52.80   	 99.76   	-127.16		
-30.52   	-56.76   	 99.25   	-122.07		
-36.32   	-60.12   	 98.76   	-122.07		
-39.67   	-62.26   	 98.27   	-122.07		
-39.06   	-62.87   	 97.78   	-116.99		
-36.62   	-62.56   	 97.31   	-122.07		
-34.79   	-62.56   	 96.83   	-127.16		
-35.71   	-63.48   	 96.32   	-122.07		
-37.23   	-64.39   	 95.83   	-116.99		
-37.23   	-64.09   	 95.36   	-122.07		
-35.40   	-64.09   	 94.87   	-122.07		
-34.48   	-65.61   	 94.38   	-122.07		
-36.62   	-68.66   	 93.90   	-116.99		
-39.67   	-70.19   	 93.43   	-122.07		
-38.76   	-65.92   	 92.94   	-116.99		
-31.43   	-52.80   	 92.47   	-116.99		
-18.01   	-31.43   	 92.00   	-116.99		
 -3.05   	 -5.19   	 91.54   	-116.99		
  8.24   	 19.84   	 91.07   	-111.90		
 14.34   	 39.98   	 90.62   	-116.99		
 18.01   	 53.10   	 90.15   	-111.90		
 24.11   	 60.12   	 89.70   	-111.90		
 35.71   	 66.22   	 89.26   	-111.90		
 51.27   	 75.38   	 88.81   	-116.99		
 61.65   	 85.75   	 88.34   	-106.82		
