  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
  3.97   	-65.61   	 14.89   	  55.95		 62.93   	  15.26		
 11.60   	-53.71   	 15.12   	  61.04		 62.99   	  35.61		
 -1.83   	-62.26   	 15.36   	  66.12		 63.13   	  20.35		
-11.29   	-67.44   	 15.63   	  66.12		 63.21   	 -15.26		
-10.68   	-64.39   	 15.89   	  71.21		 63.15   	 -35.61		
-26.86   	-72.63   	 16.17   	  71.21		 63.01   	 -20.35		
-14.95   	-63.17   	 16.46   	  71.21		 62.93   	 -25.43		
 -6.41   	-55.54   	 16.74   	  76.30		 62.83   	 -45.78		
 -8.85   	-56.46   	 17.05   	  76.30		 62.64   	 -55.95		
  8.85   	-37.84   	 17.35   	  76.30		 62.42   	 -50.86		
 -4.88   	-53.41   	 17.66   	  76.30		 62.22   	 -66.12		
-22.28   	-60.12   	 17.97   	  81.38		 61.95   	 -71.21		
-32.35   	-50.96   	 18.29   	  91.56		 61.67   	 -55.95		
-33.57   	-54.63   	 18.66   	  91.56		 61.44   	 -55.95		
