  I     	  II     	  LVp     	  LVp'		
216.67   	631.10   	 53.47   	 116.99		
212.40   	615.84   	 53.94   	  96.64		
208.74   	597.53   	 54.32   	  71.21		
204.16   	575.26   	 54.61   	  40.69		
197.14   	548.40   	 54.77   	  15.26		
186.77   	517.27   	 54.83   	 -15.26		
173.34   	483.40   	 54.77   	 -35.61		
158.08   	447.69   	 54.63   	 -61.04		
141.60   	410.16   	 54.38   	 -91.56		
125.43   	371.40   	 54.02   	-106.82		
110.78   	332.03   	 53.59   	-137.33		
 97.35   	294.49   	 53.04   	-152.59		
 85.75   	260.93   	 52.43   	-178.03		
 75.07   	232.24   	 51.72   	-198.37		
 63.78   	205.99   	 50.93   	-218.72		
 51.57   	180.36   	 50.05   	-233.98		
 40.89   	154.42   	 49.11   	-249.24		
 32.04   	130.00   	 48.12   	-264.50		
 25.33   	109.25   	 47.06   	-279.75		
 19.23   	 93.69   	 45.94   	-289.93		
 13.12   	 80.87   	 44.78   	-305.19		
  7.02   	 67.44   	 43.56   	-310.27		
  1.22   	 51.57   	 42.32   	-320.45		
 -3.97   	 34.18   	 41.04   	-325.53		
 -9.16   	 18.31   	 39.74   	-330.62		
-14.34   	  6.41   	 38.41   	-330.62		
-18.31   	 -0.61   	 37.09   	-335.71		
-20.14   	 -5.49   	 35.75   	-335.71		
-20.45   	-10.99   	 34.40   	-330.62		
-20.75   	-18.01   	 33.08   	-330.62		
-21.36   	-25.63   	 31.76   	-330.62		
-22.89   	-32.65   	 30.44   	-320.45		
-25.02   	-38.76   	 29.16   	-320.45		
-26.86   	-44.86   	 27.87   	-310.27		
-28.69   	-50.66   	 26.63   	-305.19		
-30.21   	-56.15   	 25.41   	-295.01		
-31.74   	-60.12   	 24.23   	-289.93		
-33.57   	-63.17   	 23.07   	-279.75		
-36.32   	-65.92   	 21.95   	-269.58		
-39.98   	-70.50   	 20.87   	-259.41		
-43.33   	-76.29   	 19.84   	-249.24		
-44.86   	-81.79   	 18.84   	-239.06		
-43.95   	-85.14   	 17.88   	-228.89		
-41.81   	-85.75   	 16.97   	-213.63		
-40.28   	-85.14   	 16.11   	-203.46		
-41.20   	-84.84   	 15.30   	-193.29		
-44.86   	-85.75   	 14.53   	-178.03		
-48.83   	-87.89   	 13.81   	-162.77		
-51.27   	-89.42   	 13.16   	-157.68		
-51.27   	-89.72   	 12.53   	-142.42		
-49.13   	-87.89   	 11.96   	-132.25		
-47.30   	-86.06   	 11.43   	-122.07		
-46.69   	-85.45   	 10.95   	-111.90		
-48.22   	-86.98   	 10.50   	-101.73		
-50.96   	-89.42   	 10.09   	 -96.64		
-53.71   	-91.86   	  9.70   	 -81.38		
-55.54   	-93.08   	  9.38   	 -76.30		
-56.46   	-93.69   	  9.07   	 -71.21		
-57.37   	-94.30   	  8.79   	 -61.04		
-57.37   	-94.91   	  8.55   	 -55.95		
-53.71   	-92.77   	  8.32   	 -50.86		
-45.17   	-86.06   	  8.12   	 -45.78		
-35.10   	-78.13   	  7.93   	 -35.61		
-29.91   	-74.77   	  7.79   	 -35.61		
-35.40   	-80.87   	  7.65   	 -30.52		
-50.96   	-94.91   	  7.53   	 -25.43		
