  I     	  II     	  FA     	  FA'		  AOp     	  AOp'		
-48.22   	-63.17   	 99.02   	-213.63		103.64   	-183.11		
-49.13   	-65.31   	 98.17   	-198.37		102.91   	-188.20		
-46.08   	-61.34   	 97.37   	-198.37		102.16   	-183.11		
-43.03   	-56.15   	 96.58   	-188.20		101.42   	-178.03		
-42.72   	-51.27   	 95.83   	-178.03		100.71   	-183.11		
-43.64   	-47.91   	 95.12   	-172.94		 99.98   	-178.03		
-44.25   	-48.22   	 94.42   	-162.77		 99.27   	-172.94		
-44.25   	-53.10   	 93.77   	-157.68		 98.58   	-167.85		
-42.11   	-59.51   	 93.14   	-152.59		 97.90   	-167.85		
-37.23   	-63.48   	 92.53   	-142.42		 97.23   	-157.68		
-30.21   	-62.56   	 91.96   	-137.33		 96.60   	-152.59		
-25.33   	-60.12   	 91.41   	-127.16		 95.99   	-152.59		
-27.77   	-62.56   	 90.91   	-127.16		 95.38   	-142.42		
-37.54   	-71.41   	 90.40   	-122.07		 94.81   	-132.25		
-47.91   	-81.48   	 89.91   	-116.99		 94.28   	-132.25		
-52.49   	-85.14   	 89.44   	-111.90		 93.75   	-127.16		
-49.44   	-80.57   	 88.99   	-111.90		 93.24   	-122.07		
-42.42   	-73.24   	 88.54   	-106.82		 92.76   	-116.99		
-37.84   	-70.19   	 88.12   	-101.73		 92.29   	-111.90		
-38.45   	-73.24   	 87.71   	-106.82		 91.84   	-111.90		
-42.11   	-76.29   	 87.28   	 -96.64		 91.39   	-106.82		
-44.56   	-74.16   	 86.90   	 -96.64		 90.97   	-111.90		
-44.86   	-67.44   	 86.51   	 -91.56		 90.52   	-106.82		
-44.25   	-61.04   	 86.14   	 -91.56		 90.09   	-106.82		
-44.56   	-60.12   	 85.78   	 -81.38		 89.66   	-111.90		
-45.47   	-66.83   	 85.45   	 -81.38		 89.22   	-101.73		
-46.39   	-76.90   	 85.13   	 -81.38		 88.81   	-106.82		
-45.17   	-84.53   	 84.80   	 -76.30		 88.38   	-101.73		
-42.72   	-84.53   	 84.50   	 -76.30		 87.98   	-101.73		
-41.20   	-76.29   	 84.19   	 -71.21		 87.57   	 -96.64		
-39.67   	-61.65   	 83.91   	 -76.30		 87.18   	 -91.56		
-38.45   	-45.78   	 83.60   	 -71.21		 86.82   	 -86.47		
-36.01   	-32.65   	 83.32   	 -71.21		 86.47   	 -86.47		
-32.04   	-23.80   	 83.03   	 -71.21		 86.12   	 -76.30		
