  I     	  II     	  LV     	  LV'		
266.72   	 26.55   	 10.68   	 -15.26		
291.14   	-137.33   	 10.62   	 -15.26		
316.47   	-297.24   	 10.56   	  -5.09		
348.21   	-406.49   	 10.54   	  -5.09		
389.40   	-446.78   	 10.52   	   5.09		
437.62   	-434.27   	 10.54(E)	   5.09		
484.92   	-405.27   	 10.56   	  15.26		
521.24   	-393.68   	 10.62   	  20.35		
538.02(R)	-410.77   	 10.70   	  25.43		
532.23   	-441.89   	 10.80   	  35.61		
507.81   	-465.70   	 10.95   	  35.61		
473.94   	-469.67   	 11.09   	  45.78		
440.37   	-462.65   	 11.27   	  50.86		
413.51   	-467.83   	 11.48   	  50.86		
395.51   	-503.85   	 11.68   	  61.04		
386.66   	-570.68   	 11.92   	  71.21		
385.74   	-651.55   	 12.21   	  76.30		
391.24   	-726.32   	 12.51   	  96.64		
398.86   	-785.52   	 12.90   	 106.82		
403.14   	-832.52   	 13.33   	 132.25		
401.31   	-873.41   	 13.86   	 152.59		
394.59   	-911.25   	 14.47   	 183.11		
389.10   	-945.13   	 15.20   	 208.54		
390.01   	-970.76   	 16.03   	 244.15		
396.73   	-983.89   	 17.01   	 274.67		
403.75   	-982.97   	 18.11   	 305.19		
403.14   	-965.27   	 19.33   	 340.79		
389.40   	-927.43   	 20.69   	 371.31		
359.19   	-862.73   	 22.18   	 401.83		
311.89   	-765.08   	 23.78   	 427.26		
248.72   	-635.38   	 25.49   	 462.87		
174.26   	-488.28   	 27.34   	 483.21		
 97.05   	-348.21   	 29.28   	 503.56		
 26.86   	-235.29   	 31.29   	 528.99		
-28.99   	-154.11   	 33.41   	 549.34		
-70.50   	-93.08   	 35.61   	 564.60		
-101.01   	-36.93   	 37.86   	 590.03		
-124.21   	 18.31   	 40.22   	 605.29		
-141.91   	 64.39   	 42.64   	 630.72		
-152.89   	 92.16   	 45.17   	 661.24		
-158.08   	101.32   	 47.81   	 691.76		
-159.61   	102.23   	 50.58   	 722.28		
-161.44   	106.51   	 53.47   	 747.71		
-165.10   	117.49   	 56.46   	 768.05		
-169.98   	131.84   	 59.53   	 773.14		
-174.56   	142.52   	 62.62   	 762.97		
-177.61   	147.71   	 65.68   	 752.79		
-179.14   	149.84   	 68.69   	 722.28		
-179.44   	151.67   	 71.58   	 701.93		
-179.75   	154.72   	 74.38   	 676.50		
-180.36   	157.47   	 77.09   	 651.07		
-182.19   	159.91   	 79.69   	 640.89		
-184.33   	161.44   	 82.26   	 620.55		
-186.77   	162.96   	 84.74   	 615.46		
-188.60   	164.49   	 87.20   	 600.20		
-190.73   	166.32   	 89.60   	 584.94		
-192.57   	168.76   	 91.94   	 569.68		
-194.70   	171.20   	 94.22   	 539.16		
-197.14   	173.65   	 96.38   	 513.73		
-199.58   	175.78   	 98.43   	 488.30		
-202.94   	177.61   	100.39   	 462.87		
-207.52   	179.14   	102.24   	 437.43		
-212.71   	180.66   	103.99   	 432.35		
-218.20   	181.88   	105.72   	 417.09		
-223.69   	183.11   	107.39   	 412.00		
-228.58   	184.02   	109.03   	 417.09		
-232.85   	185.85   	110.70   	 406.92		
-237.12   	188.60   	112.33   	 401.83		
-242.61   	191.65   	113.94   	 391.66		
-249.33   	194.40   	115.50   	 386.57		
-257.57   	195.62   	117.05   	 366.22		
-265.81   	195.92   	118.51   	 361.14		
-272.83   	196.53   	119.96   	 345.88		
-278.63   	198.36   	121.34   	 330.62		
-283.20   	202.03   	122.66   	 325.53		
-286.87   	206.91   	123.97   	 315.36		
-289.92   	211.49   	125.23   	 305.19		
-292.36   	215.76   	126.45   	 295.01		
-293.58   	220.34   	127.63   	 274.67		
-292.66   	225.52   	128.73   	 269.58		
-289.61   	231.63   	129.81   	 249.24		
-284.73   	238.34   	130.80   	 244.15		
-278.32   	244.14   	131.78   	 228.89		
-270.39   	248.72   	132.70   	 218.72		
-260.62   	252.69   	133.57   	 203.46		
-248.41   	255.74   	134.38   	 188.20		
-233.15   	258.48   	135.14   	 172.94		
-215.45   	260.93   	135.83   	 152.59		
-196.23   	262.45   	136.44   	 142.42		
-176.39   	262.15   	137.01   	 122.07		
-156.86   	259.09   	137.50   	 111.90		
-136.72   	252.69   	137.94   	  91.56		
-116.27   	242.61   	138.31   	  81.38		
-95.52   	229.19   	138.64   	  61.04		
-75.38   	213.32   	138.88   	  40.69		
-56.46   	195.62   	139.04   	  20.35		
-39.37   	177.31   	139.12(S)	 -10.17		
-24.41   	159.30   	139.08   	 -30.52		
-11.29   	142.82   	138.96   	 -55.95		
 -0.92   	128.48   	138.74   	 -76.30		
