  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
 76.90   	-650.94   	 58.13   	 -40.69		 60.96   	 -45.78		
 74.46   	-646.67   	 57.97   	 -30.52		 60.77   	 -45.78		
 62.56   	-643.62   	 57.84   	 -25.43		 60.59   	 -50.86		
 45.17   	-654.60   	 57.74   	 -10.17		 60.39   	 -45.78		
 27.77   	-680.85   	 57.70   	   0.00		 60.20   	 -50.86		
 13.43   	-715.64   	 57.70   	  20.35		 60.00   	 -50.86		
  3.97   	-746.77   	 57.78   	  40.69		 59.80   	 -50.86		
 -2.75   	-767.21   	 57.94   	  55.95		 59.59   	 -45.78		
 -7.93   	-776.06   	 58.17   	  86.47		 59.41   	 -50.86		
-12.51   	-779.11   	 58.51   	 111.90		 59.21   	 -50.86		
-15.26   	-783.39   	 58.96   	 137.33		 59.00   	 -50.86		
-16.17   	-792.54   	 59.51   	 157.68		 58.80   	 -50.86		
-15.56   	-805.66   	 60.14   	 188.20		 58.60   	 -50.86		
-14.04   	-819.09   	 60.89   	 208.54		 58.39   	 -45.78		
-13.12   	-831.60   	 61.73   	 228.89		 58.21   	 -45.78		
-12.82   	-843.81   	 62.64   	 249.24		 58.03   	 -40.69		
-13.12   	-858.15   	 63.64   	 259.41		 57.86   	 -30.52		
-14.34   	-875.85   	 64.68   	 274.67		 57.74   	 -30.52		
-15.56   	-896.00   	 65.78   	 279.75		 57.62   	 -15.26		
-17.40   	-915.83   	 66.90   	 289.93		 57.56   	   0.00		
-19.23   	-934.75   	 68.06   	 289.93		 57.56   	  15.26		
-20.75   	-952.76   	 69.22   	 289.93		 57.62   	  35.61		
-22.28   	-972.29   	 70.38   	 295.01		 57.76   	  66.12		
-23.50   	-994.26   	 71.56   	 289.93		 58.03   	  86.47		
-25.02   	-1018.37   	 72.72   	 289.93		 58.37   	 111.90		
-26.86   	-1044.01   	 73.88   	 289.93		 58.82   	 137.33		
-29.30   	-1071.17   	 75.04   	 289.93		 59.37   	 167.85		
-31.74   	-1100.77   	 76.20   	 284.84		 60.04   	 198.37		
-33.57   	-1133.42   	 77.33   	 284.84		 60.83   	 213.63		
-34.48   	-1167.91   	 78.47   	 284.84		 61.69   	 244.15		
-34.48   	-1201.48   	 79.61   	 284.84		 62.67   	 259.41		
-34.18   	-1232.91   	 80.75   	 279.75		 63.70   	 284.84		
-34.48   	-1263.12   	 81.87   	 274.67		 64.84   	 295.01		
-35.71   	-1294.25   	 82.97   	 269.58		 66.02   	 310.27		
-37.84   	-1328.13   	 84.05   	 264.50		 67.26   	 325.53		
-39.67   	-1363.22   	 85.11   	 259.41		 68.57   	 335.71		
-39.37   	-1397.09   	 86.14   	 244.15		 69.91   	 345.88		
-36.93   	-1425.78   	 87.12   	 239.06		 71.29   	 350.97		
-32.96   	-1448.36   	 88.08   	 228.89		 72.70   	 350.97		
-29.30   	-1464.23   	 88.99   	 223.80		 74.10   	 361.14		
-26.55   	-1475.22   	 89.89   	 208.54		 75.54   	 361.14		
-24.72   	-1481.32   	 90.72   	 198.37		 76.99   	 366.22		
-22.28   	-1481.93   	 91.52   	 193.29		 78.45   	 366.22		
-18.31   	-1476.14   	 92.29   	 183.11		 79.92   	 361.14		
-13.12   	-1463.62   	 93.02   	 167.85		 81.36   	 361.14		
 -7.02   	-1445.01   	 93.69   	 152.59		 82.81   	 361.14		
 -0.92   	-1422.12   	 94.30   	 137.33		 84.25   	 350.97		
  5.19   	-1395.26   	 94.85   	 127.16		 85.66   	 350.97		
 10.68   	-1363.53   	 95.36   	 106.82		 87.06   	 340.79		
 15.56   	-1325.68   	 95.79   	  91.56		 88.42   	 340.79		
 19.23   	-1280.21   	 96.15   	  76.30		 89.79   	 325.53		
 22.28   	-1227.42   	 96.46   	  61.04		 91.09   	 320.45		
 25.63   	-1169.74   	 96.70   	  45.78		 92.37   	 310.27		
 29.91   	-1109.92   	 96.89   	  30.52		 93.61   	 295.01		
 34.48   	-1050.72   	 97.01   	  20.35		 94.79   	 284.84		
 38.45   	-991.21   	 97.09   	   5.09		 95.93   	 274.67		
 40.59   	-930.18   	 97.11   	  -5.09		 97.03   	 254.32		
 40.89   	-864.56   	 97.09   	 -10.17		 98.05   	 244.15		
 40.28   	-792.85   	 97.05   	 -25.43		 99.02   	 223.80		
 39.98   	-715.64   	 96.95   	 -40.69		 99.92   	 203.46		
 39.67   	-635.68   	 96.78   	 -45.78		100.73   	 193.29		
 38.76   	-556.34   	 96.60   	 -61.04		101.51   	 167.85		
 36.01   	-481.87   	 96.36   	 -81.38		102.18   	 157.68		
 31.43   	-414.12   	 96.03   	 -91.56		102.81   	 132.25		
 25.94   	-354.00   	 95.67   	-111.90		103.34   	 111.90		
