  I     	  II     	  LVp     	  LVp'		  FA     	  FA'		
257.87   	1030.58   	 18.70   	  91.56		 75.97   	 -50.86		
106.51   	792.24   	 19.06   	 111.90		 75.77   	 -50.86		
-14.65   	556.03   	 19.51   	 137.33		 75.56   	 -45.78		
-83.92   	319.21   	 20.06   	 167.85		 75.38   	 -45.78		
-103.45   	109.56   	 20.73   	 213.63		 75.20   	 -45.78		
-93.69   	-35.71   	 21.59   	 269.58		 75.01   	 -45.78		
-75.38   	-105.29   	 22.67   	 335.71		 74.83   	 -40.69		
-60.42   	-121.15   	 24.01   	 412.00		 74.67   	 -45.78		
-50.35   	-117.49   	 25.66   	 488.30		 74.49   	 -40.69		
-41.81   	-114.75   	 27.61   	 574.77		 74.32   	 -40.69		
-32.35   	-113.83   	 29.91   	 656.15		 74.16   	 -40.69		
-23.80   	-107.42   	 32.53   	 737.54		 74.00   	 -40.69		
-19.23   	-97.35   	 35.48   	 808.75		 73.83   	 -40.69		
-19.84   	-90.94   	 38.72   	 885.04		 73.67   	 -35.61		
-22.89   	-91.86   	 42.26   	 951.17		 73.53   	 -40.69		
-25.02   	-95.83   	 46.06   	1012.20		 73.37   	 -30.52		
-23.50   	-97.05   	 50.11   	1078.33		 73.24   	 -35.61		
-18.01   	-93.99   	 54.43   	1129.19		 73.10   	 -25.43		
-12.21   	-89.11   	 58.94   	1185.14		 73.00   	 -25.43		
 -8.24   	-84.23   	 63.68   	1225.83		 72.90   	 -15.26		
 -7.02   	-80.57   	 68.59   	1246.18		 72.84   	  -5.09		
 -8.54   	-78.13   	 73.57   	1251.27		 72.82(D)	   5.09		
-11.29   	-76.90   	 78.58   	1251.27		 72.84   	  15.26		
-14.34   	-76.60   	 83.58   	1230.92		 72.90   	  40.69		
-16.48   	-77.82   	 88.50   	1215.66		 73.06   	  61.04		
-16.48   	-79.35   	 93.37   	1195.32		 73.31   	  91.56		
-14.04   	-79.04   	 98.15   	1169.88		 73.67   	 127.16		
-11.29   	-75.99   	102.83   	1124.11		 74.18   	 157.68		
 -9.77   	-70.80   	107.32   	1073.24		 74.81   	 203.46		
 -9.16   	-64.70   	111.62   	1017.29		 75.63   	 249.24		
 -7.32   	-58.90   	115.69   	 951.17		 76.62   	 289.93		
 -4.27   	-54.02   	119.49   	 900.30		 77.78   	 335.71		
 -1.22   	-50.05   	123.09   	 849.44		 79.12   	 386.57		
 -0.61   	-46.39   	126.49   	 808.75		 80.67   	 422.18		
 -3.36   	-43.33   	129.72   	 768.05		 82.36   	 467.95		
 -7.32   	-38.45   	132.80   	 722.28		 84.23   	 508.65		
 -8.85   	-31.43   	135.69   	 681.58		 86.27   	 544.25		
 -6.10   	-22.58   	138.41   	 630.72		 88.44   	 574.77		
 -1.53   	-14.34   	140.94   	 590.03		 90.74   	 610.37		
  2.75   	 -8.24   	143.30   	 544.25		 93.18   	 635.81		
  5.19   	 -3.36   	145.47   	 508.65		 95.73   	 656.15		
  5.80   	  1.83   	147.51   	 473.04		 98.35   	 676.50		
  7.02   	  8.54   	149.40   	 447.61		101.06   	 691.76		
  9.77   	 16.48   	151.19   	 432.35		103.82   	 701.93		
 14.04   	 25.02   	152.92   	 422.18		106.63   	 712.10		
 17.70   	 34.18   	154.61   	 422.18		109.48   	 722.28		
 19.53   	 45.47   	156.30   	 422.18		112.37   	 717.19		
 19.23   	 58.59   	157.99   	 406.92		115.24   	 722.28		
 17.70   	 72.33   	159.61   	 391.66		118.13   	 722.28		
 16.78   	 83.62   	161.18   	 366.22		121.02   	 712.10		
 18.01   	 91.86   	162.64   	 340.79		123.87   	 701.93		
 22.58   	 98.27   	164.01   	 320.45		126.67   	 691.76		
 30.52   	106.81   	165.29   	 295.01		129.44   	 681.58		
 40.59   	118.41   	166.47   	 259.41		132.17   	 661.24		
 48.83   	131.23   	167.51   	 233.98		134.81   	 640.89		
 53.10   	142.21   	168.44   	 213.63		137.37   	 625.63		
 52.49   	148.32   	169.30   	 198.37		139.88   	 605.29		
 48.83   	150.45   	170.09   	 188.20		142.30   	 579.86		
 46.39   	151.06   	170.84   	 193.29		144.62   	 554.42		
 46.69   	151.67   	171.62   	 183.11		146.84   	 528.99		
 48.83   	152.28   	172.35   	 172.94		148.95   	 503.56		
 50.96   	151.06   	173.04   	 162.77		150.97   	 478.13		
 51.27   	148.01   	173.69   	 132.25		152.88   	 452.69		
 49.13   	143.43   	174.22   	 111.90		154.69   	 422.18		
 46.08   	139.16   	174.67   	  91.56		156.38   	 396.74		
 43.33   	135.19   	175.03   	  71.21		157.96   	 371.31		
 41.20   	129.70   	175.32   	  50.86		159.45   	 345.88		
 39.37   	120.24   	175.52   	  30.52		160.83   	 315.36		
 37.23   	107.12   	175.65   	   5.09		162.09   	 289.93		
 34.79   	 92.16   	175.67(S)	 -25.43		163.25   	 264.50		
 30.82   	 78.13   	175.56   	 -55.95		164.31   	 239.06		
 24.72   	 65.61   	175.34   	 -81.38		165.27   	 213.63		
 17.40   	 53.41   	175.01   	 -96.64		166.12   	 188.20		
 10.38   	 40.59   	174.63   	-122.07		166.88   	 157.68		
  5.19   	 27.47   	174.14   	-152.59		167.51   	 137.33		
  2.14   	 15.56   	173.53   	-193.29		168.06   	 111.90		
 -0.31   	  5.19   	172.76   	-233.98		168.50   	  81.38		
 -3.97   	 -4.58   	171.82   	-279.75		168.83   	  55.95		
