  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
-58.90   	-130.00   	  9.50   	 -15.26		 76.01   	-162.77		
-60.12   	-129.39   	  9.44   	  -5.09		 75.36   	-167.85		
-60.42   	-128.17   	  9.42(D)	   5.09		 74.69   	 -55.95		
-60.12   	-128.17   	  9.44   	  10.17		 74.47   	  81.38		
-59.81   	-130.00   	  9.48   	  15.26		 74.79   	 157.68		
-59.51   	-132.45   	  9.54   	  20.35		 75.42   	 142.42		
-59.51   	-133.06   	  9.62   	  25.43		 75.99   	 -35.61		
-59.81   	-130.92   	  9.73   	  30.52		 75.85   	-279.75		
-61.95   	-127.87   	  9.85   	  35.61		 74.73   	-330.62		
-65.92   	-126.65   	  9.99   	  35.61		 73.41   	 -76.30		
-70.19   	-128.48   	 10.13   	  45.78		 73.10   	 295.01		
-71.72   	-132.75   	 10.32   	  50.86		 74.28   	 391.66		
-68.66   	-136.11   	 10.52   	  50.86		 75.85   	  25.43		
-63.17   	-137.02   	 10.72   	  55.95		 75.95   	-386.57		
-58.90   	-134.89   	 10.95   	  61.04		 74.40   	-386.57		
-59.51   	-132.14   	 11.19   	  50.86		 72.86   	 -96.64		
-64.39   	-131.23   	 11.39   	  50.86		 72.47   	 264.50		
-70.19   	-132.14   	 11.60   	  45.78		 73.53   	 295.01		
-72.94   	-133.97   	 11.78   	  30.52		 74.71   	 -20.35		
