  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
 10.68   	 41.81   	  5.23   	  10.17		 61.77   	 -50.86		
 14.65   	 55.54   	  5.27   	  10.17		 61.57   	 -45.78		
 19.23   	 69.89   	  5.31   	  10.17		 61.38   	 -40.69		
 25.33   	 82.40   	  5.35   	  10.17		 61.22   	 -45.78		
 32.04   	 91.25   	  5.39   	  10.17		 61.04   	 -45.78		
 38.15   	 95.21   	  5.43   	  10.17		 60.85   	 -45.78		
 42.72   	 93.08   	  5.47   	  10.17		 60.67   	 -40.69		
 44.56   	 85.75   	  5.51   	  10.17		 60.51   	 -45.78		
 45.17   	 75.07   	  5.55   	  10.17		 60.33   	 -40.69		
 47.30   	 66.22   	  5.60   	  10.17		 60.16   	 -45.78		
 51.88   	 63.17   	  5.64   	  10.17		 59.98   	 -45.78		
 57.37   	 64.70   	  5.68   	   5.09		 59.80   	 -40.69		
 60.12   	 65.31   	  5.70   	   5.09		 59.63   	 -45.78		
 58.29   	 59.81   	  5.72   	   5.09		 59.45   	 -40.69		
 50.96   	 45.47   	  5.74   	   0.00		 59.29   	 -45.78		
 39.98   	 27.47   	  5.74   	   5.09		 59.10   	 -40.69		
 27.47   	 12.21   	  5.76   	   0.00		 58.94   	 -40.69		
 14.04   	  0.61   	  5.76   	   0.00		 58.78   	 -40.69		
  0.61   	-10.38   	  5.76   	   0.00		 58.62   	 -40.69		
-10.99   	-25.33   	  5.76   	   0.00		 58.45   	 -40.69		
-19.23   	-45.17   	  5.76   	   0.00		 58.29   	 -35.61		
-24.11   	-65.61   	  5.76   	   0.00		 58.15   	 -35.61		
-25.63   	-80.57   	  5.76   	   5.09		 58.01   	 -30.52		
-25.94   	-86.06   	  5.78   	   5.09		 57.88   	 -35.61		
-25.02   	-84.84   	  5.80   	   5.09		 57.74   	 -30.52		
-22.89   	-80.87   	  5.82   	  10.17		 57.62   	 -30.52		
-21.06   	-78.43   	  5.86   	  10.17		 57.50   	 -30.52		
-20.45   	-78.13   	  5.90   	  15.26		 57.38   	 -30.52		
-22.89   	-79.04   	  5.96   	  15.26		 57.25   	 -30.52		
-26.55   	-79.96   	  6.02   	  20.35		 57.13   	 -30.52		
-29.91   	-80.87   	  6.10   	  25.43		 57.01   	 -30.52		
-31.74   	-83.31   	  6.21   	  20.35		 56.89   	 -30.52		
-32.35   	-88.20   	  6.29   	  30.52		 56.76   	 -30.52		
-32.65   	-93.08   	  6.41   	  30.52		 56.64   	 -35.61		
-32.96   	-94.30   	  6.53   	  30.52		 56.50   	 -30.52		
-32.65   	-89.72   	  6.65   	  35.61		 56.38   	 -35.61		
-33.87   	-81.79   	  6.80   	  35.61		 56.24   	 -35.61		
-40.59   	-75.07   	  6.94   	  45.78		 56.09   	 -30.52		
-56.46   	-73.24   	  7.12   	  45.78		 55.97   	 -35.61		
-79.04   	-73.55   	  7.30   	  50.86		 55.83   	 -35.61		
-97.35   	-66.83   	  7.51   	  50.86		 55.69   	 -35.61		
-96.13   	-45.17   	  7.71   	  55.95		 55.54   	 -35.61		
-63.78   	 -5.80   	  7.93   	  61.04		 55.40   	 -35.61		
  2.14   	 46.39   	  8.18   	  61.04		 55.26   	 -35.61		
 98.57   	106.51   	  8.42   	  61.04		 55.12   	 -35.61		
224.30   	177.31   	  8.67   	  61.04		 54.97   	 -35.61		
383.91   	271.61   	  8.91   	  66.12		 54.83   	 -40.69		
575.87   	402.22   	  9.18   	  61.04		 54.67   	 -35.61		
777.59   	555.73   	  9.42   	 127.16		 54.53   	 -71.21		
996.70   	711.36(R)	  9.93   	  66.12		 54.24   	 -35.61		
924.99   	599.98   	 10.19   	  66.12		 54.10   	 -35.61		
750.12   	362.85   	 10.46   	  71.21		 53.96   	 -40.69		
543.21   	 72.94   	 10.74   	  81.38		 53.79   	 -35.61		
378.11   	-191.04   	 11.07   	  91.56		 53.65   	 -35.61		
285.34   	-387.27   	 11.43   	 106.82		 53.51   	 -35.61		
242.61   	-514.53   	 11.86   	 132.25		 53.37   	 -35.61		
203.86   	-588.38   	 12.39   	 152.59		 53.22   	 -30.52		
139.16   	-610.05   	 13.00   	 188.20		 53.10   	 -25.43		
 50.66   	-569.76   	 13.75   	 213.63		 53.00   	 -25.43		
-41.50   	-475.46   	 14.61   	 233.98		 52.90   	 -25.43		
-117.49   	-365.30   	 15.54   	 259.41		 52.80   	 -20.35		
-172.42   	-283.20   	 16.58   	 259.41		 52.72   	 -25.43		
-211.49   	-246.89   	 17.62   	 264.50		 52.61   	 -25.43		
-240.78   	-241.70   	 18.68   	 254.32		 52.51   	 -35.61		
-262.15   	-235.60   	 19.69   	 244.15		 52.37   	 -35.61		
-274.35   	-209.35   	 20.67   	 233.98		 52.23   	 -45.78		
-276.79   	-169.37   	 21.61   	 244.15		 52.04   	 -45.78		
-268.86   	-136.11   	 22.58   	 249.24		 51.86   	 -45.78		
-249.33   	-122.68   	 23.58   	 274.67		 51.68   	 -40.69		
-218.51   	-122.68   	 24.68   	 305.19		 51.52   	 -40.69		
-181.27   	-119.93   	 25.90   	 345.88		 51.35   	 -20.35		
-144.04   	-103.76   	 27.28   	 396.74		 51.27   	 -10.17		
-113.53   	-76.90   	 28.87   	 442.52		 51.23(D)	  10.17		
-92.16   	-52.19   	 30.64   	 488.30		 51.27   	  30.52		
-78.43   	-42.11   	 32.59   	 534.08		 51.39   	  61.04		
-68.97   	-46.69   	 34.73   	 564.60		 51.64   	  91.56		
