  I     	  II     	  AO     	  AO'		  CH2     	  CH2'		
-17.40   	-15.26   	102.81   	 295.01		 -7.28   	   5.09		
-25.63   	-10.68   	103.99   	 259.41		 -7.26   	  10.17		
-28.38   	-15.87   	105.03   	 228.89		 -7.22   	  10.17		
-25.63   	-24.11   	105.94   	 198.37		 -7.18   	  15.26		
-29.30   	-37.84   	106.73   	 172.94		 -7.12   	  15.26		
-34.18   	-46.39   	107.43   	 167.85		 -7.06   	  10.17		
-34.18   	-48.52   	108.10   	 162.77		 -7.02   	  20.35		
-43.03   	-53.71   	108.75   	 172.94		 -6.94   	  15.26		
-44.25   	-54.93   	109.44   	 183.11		 -6.88   	  15.26		
-44.86   	-57.98   	110.17   	 208.54		 -6.82   	  20.35		
-43.33   	-65.31   	111.01   	 244.15		 -6.73   	  20.35		
-42.42   	-64.39   	111.98   	 274.67		 -6.65   	  20.35		
-56.76   	-65.92   	113.08   	 300.10		 -6.57   	  15.26		
-63.17   	-72.33   	114.28   	 325.53		 -6.51   	  20.35		
-71.72   	-71.72   	115.58   	 330.62		 -6.43   	  20.35		
-79.96   	-75.99   	116.91   	 315.36		 -6.35   	  15.26		
-73.55   	-81.18   	118.17   	 289.93		 -6.29   	  15.26		
-75.99   	-87.28   	119.33   	 249.24		 -6.23   	  15.26		
-81.79   	-86.67   	120.33   	 208.54		 -6.16   	  15.26		
-83.31   	-75.99   	121.16   	 172.94		 -6.10   	  10.17		
-83.92   	-71.72   	121.85   	 142.42		 -6.06   	  10.17		
-82.70   	-66.53   	122.42   	 132.25		 -6.02   	   5.09		
-78.43   	-63.48   	122.95   	 132.25		 -6.00   	   5.09		
-75.68   	-65.00   	123.48   	 142.42		 -5.98   	   0.00		
-75.38   	-54.93   	124.05   	 152.59		 -5.98   	   0.00		
-70.50   	-36.01   	124.66   	 167.85		 -5.98   	   0.00		
-65.00   	-17.09   	125.33   	 178.03		 -5.98   	  -5.09		
-63.78   	 -9.16   	126.04   	 178.03		 -6.00   	  -5.09		
-51.27   	 -2.14   	126.75   	 172.94		 -6.02   	  -5.09		
-43.95   	  8.54   	127.45   	 152.59		 -6.04   	 -10.17		
-38.45   	 13.43   	128.06   	 127.16		 -6.08   	 -10.17		
-21.06   	 32.65   	128.57   	  91.56		 -6.12   	  -5.09		
-14.34   	 47.91   	128.93   	  66.12		 -6.14   	 -10.17		
-10.07   	 58.90   	129.20   	  30.52		 -6.19   	 -10.17		
 -5.49   	 64.09   	129.32(S)	   0.00		 -6.23   	 -10.17		
  0.61   	 58.59   	129.32   	 -25.43		 -6.27   	  -5.09		
  0.00   	 57.07   	129.22   	 -40.69		 -6.29   	  -5.09		
  6.10   	 56.15   	129.05   	 -66.12		 -6.31   	 -10.17		
 16.78   	 67.75   	128.79   	 -81.38		 -6.35   	  -5.09		
 21.97   	 81.48   	128.46   	 -96.64		 -6.37   	   0.00		
 25.94   	 86.67   	128.08   	-116.99		 -6.37   	  -5.09		
 30.52   	 83.92   	127.61   	-132.25		 -6.39   	   0.00		
 36.01   	 79.96   	127.08   	-162.77		 -6.39   	  -5.09		
 35.71   	 81.79   	126.43   	-193.29		 -6.41   	   5.09		
 37.84   	 84.84   	125.66   	-228.89		 -6.39   	   0.00		
 38.15   	 84.84   	124.74   	-279.75		 -6.39   	   0.00		
 31.13   	 85.45   	123.62   	-330.62		 -6.39   	   5.09		
 30.52   	 77.82   	122.30   	-386.57		 -6.37   	   0.00		
 32.96   	 67.44   	120.75   	-442.52		 -6.37   	   5.09		
 35.10   	 67.44   	118.98   	-478.13		 -6.35   	   5.09		
 37.84   	 62.56   	117.07   	-498.47		 -6.33   	   0.00		
 37.84   	 65.92   	115.08   	-488.30		 -6.33   	   5.09		
 38.45   	 68.05   	113.12   	-447.61		 -6.31   	   5.09		
 36.32   	 75.99   	111.33   	-376.40		 -6.29   	   0.00		
 31.74   	 83.92   	109.83   	-279.75		 -6.29   	   0.00		
 40.89   	 82.40   	108.71   	-172.94		 -6.29   	   5.09		
 37.84   	 84.53   	108.02   	 -81.38		 -6.27   	   0.00		
 36.62   	 83.01   	107.69   	   5.09		 -6.27   	   0.00		
 41.20   	 79.96   	107.71   	  55.95		 -6.27   	   0.00		
 41.20   	 81.18   	107.93   	  76.30		 -6.27   	   5.09		
 34.18   	 76.29   	108.24   	  61.04		 -6.25   	   0.00		
 42.72   	 75.99   	108.48   	  20.35		 -6.25   	   0.00		
 40.89   	 74.46   	108.57   	 -25.43		 -6.25   	   5.09		
 36.62   	 72.63   	108.46   	 -81.38		 -6.23   	   0.00		
 42.11   	 78.43   	108.14   	-132.25		 -6.23   	   0.00		
 40.28   	 75.38   	107.61   	-162.77		 -6.23   	   5.09		
 42.11   	 74.16   	106.96   	-183.11		 -6.21   	   0.00		
 45.78   	 80.26   	106.23   	-172.94		 -6.21   	   5.09		
 41.50   	 73.55   	105.53   	-157.68		 -6.19   	   0.00		
 38.45   	 68.97   	104.90   	-127.16		 -6.19   	   0.00		
 36.32   	 65.00   	104.39   	 -91.56		 -6.19   	   0.00		
 32.96   	 47.61   	104.03   	 -55.95		 -6.19   	   5.09		
 36.93   	 47.61   	103.80   	 -30.52		 -6.16   	   0.00		
 38.15   	 58.29   	103.68   	 -20.35		 -6.16   	   0.00		
 39.06   	 63.48   	103.60   	 -10.17		 -6.16   	  -5.09		
 36.93   	 69.27   	103.56   	 -25.43		 -6.19   	   0.00		
 32.35   	 63.48   	103.46   	 -40.69		 -6.19   	   0.00		
 36.32   	 55.54   	103.30   	 -66.12		 -6.19   	  -5.09		
 29.60   	 47.30   	103.03   	 -91.56		 -6.21   	   0.00		
 31.74   	 46.69   	102.66   	-122.07		 -6.21   	  -5.09		
 35.10   	 42.11   	102.18   	-142.42		 -6.23   	   0.00		
 33.57   	 31.74   	101.61   	-157.68		 -6.23   	  -5.09		
 33.26   	 32.04   	100.98   	-172.94		 -6.25   	  -5.09		
 37.84   	 30.82   	100.28   	-167.85		 -6.27   	  -5.09		
 37.23   	 43.33   	 99.61   	-162.77		 -6.29   	  -5.09		
 42.42   	 71.11   	 98.96   	-147.51		 -6.31   	   0.00		
 51.27   	 93.38   	 98.37   	-132.25		 -6.31   	  -5.09		
 57.37   	116.58   	 97.84   	-122.07		 -6.33   	   0.00		
 63.17   	136.41   	 97.35   	-101.73		 -6.33   	  -5.09		
 66.83   	149.23   	 96.95   	 -96.64		 -6.35   	   0.00		
 79.65   	167.24   	 96.56   	 -91.56		 -6.35   	   5.09		
 80.57   	172.73   	 96.19   	 -86.47		 -6.33   	   0.00		
