  I     	  LV     	  LV'		  AO     	  AO'		
-56.76   	 38.37   	 869.78		 77.09   	 -71.21		
-45.47   	 41.85   	 976.60		 76.81   	 -71.21		
-46.69   	 45.76   	1093.59		 76.52   	 -71.21		
-54.32   	 50.13   	1200.40		 76.24   	 -76.30		
-59.51   	 54.93   	1302.13		 75.93   	 -71.21		
-57.37   	 60.14   	1363.17		 75.65   	 -76.30		
-51.27   	 65.59   	1383.51		 75.34   	 -71.21		
-45.47   	 71.13   	1342.82		 75.06   	 -71.21		
-41.50   	 76.50   	1261.44		 74.77   	 -61.04		
-39.06   	 81.55   	1144.45		 74.53   	 -50.86		
-36.32   	 86.12   	1032.55		 74.32   	 -30.52		
-33.57   	 90.25   	 920.65		 74.20   	 -15.26		
-30.82   	 93.94   	 844.35		 74.14(D)	  20.35		
-27.47   	 97.31   	 803.66		 74.22   	  55.95		
-23.19   	100.53   	 808.75		 74.45   	 106.82		
-18.01   	103.76   	 818.92		 74.87   	 152.59		
-12.21   	107.04   	 849.44		 75.48   	 213.63		
 -6.10   	110.44   	 859.61		 76.34   	 259.41		
  0.00   	113.88   	 844.35		 77.38   	 315.36		
  6.10   	117.25   	 798.57		 78.64   	 356.05		
 11.60   	120.45   	 732.45		 80.06   	 386.57		
 17.70   	123.38   	 656.15		 81.61   	 412.00		
 24.41   	126.00   	 569.68		 83.26   	 417.09		
 32.35   	128.28   	 498.47		 84.92   	 422.18		
 40.89   	130.27   	 447.61		 86.61   	 412.00		
 49.74   	132.06   	 417.09		 88.26   	 396.74		
 58.90   	133.73   	 386.57		 89.85   	 381.48		
 68.36   	135.28   	 366.22		 91.37   	 356.05		
 78.13   	136.74   	 335.71		 92.80   	 330.62		
 89.11   	138.09   	 310.27		 94.12   	 305.19		
100.40   	139.33   	 284.84		 95.34   	 284.84		
112.61   	140.47   	 264.50		 96.48   	 274.67		
125.43   	141.53   	 254.32		 97.58   	 269.58		
138.24   	142.54   	 254.32		 98.66   	 259.41		
150.45   	143.56   	 264.50		 99.69   	 264.50		
162.05   	144.62   	 274.67		100.75   	 259.41		
172.12   	145.72   	 269.58		101.79   	 244.15		
180.36   	146.79   	 254.32		102.77   	 233.98		
186.16   	147.81   	 218.72		103.70   	 208.54		
189.21   	148.69   	 167.85		104.54   	 188.20		
188.29   	149.36   	 111.90		105.29   	 152.59		
182.80   	149.81   	  35.61		105.90   	 122.07		
172.42   	149.95(S)	 -45.78		106.39   	  81.38		
157.17   	149.77   	-127.16		106.71   	  30.52		
138.85   	149.26   	-208.54		106.84(S)	 -15.26		
118.71   	148.42   	-264.50		106.77   	 -66.12		
 97.96   	147.36   	-289.93		106.51   	-111.90		
 77.82   	146.20   	-295.01		106.06   	-157.68		
 58.29   	145.02   	-274.67		105.43   	-183.11		
 39.98   	143.93   	-244.15		104.70   	-203.46		
 22.28   	142.95   	-213.63		103.89   	-198.37		
  5.80   	142.10   	-193.29		103.09   	-188.20		
-10.07   	141.32   	-183.11		102.34   	-167.85		
-25.33   	140.59   	-198.37		101.67   	-152.59		
-39.67   	139.80   	-208.54		101.06   	-127.16		
-52.49   	138.96   	-213.63		100.55   	 -96.64		
-63.78   	138.11   	-213.63		100.16   	 -71.21		
-72.94   	137.25   	-208.54		 99.88   	 -50.86		
-80.26   	136.42   	-203.46		 99.67   	 -25.43		
-85.45   	135.60   	-218.72		 99.57   	 -10.17		
-89.11   	134.73   	-239.06		 99.53   	   5.09		
-91.25   	133.77   	-274.67		 99.55   	  20.35		
-93.38   	132.67   	-310.27		 99.63   	  40.69		
-96.74   	131.43   	-340.79		 99.80   	  50.86		
-100.71   	130.07   	-376.40		100.00   	  61.04		
-104.37   	128.57   	-391.66		100.24   	  71.21		
-107.12   	127.00   	-391.66		100.53   	  86.47		
-107.73   	125.43   	-391.66		100.87   	 101.73		
-107.42   	123.87   	-391.66		101.28   	 106.82		
-107.42   	122.30   	-396.74		101.71   	 116.99		
-108.03   	120.71   	-422.18		102.18   	 106.82		
-108.34   	119.02   	-483.21		102.60   	 101.73		
-108.03   	117.09   	-549.34		103.01   	  71.21		
-106.20   	114.89   	-630.72		103.30   	  50.86		
-103.45   	112.37   	-717.19		103.50   	  15.26		
-101.01   	109.50   	-788.40		103.56   	 -20.35		
-99.49   	106.35   	-839.26		103.48   	 -55.95		
-99.18   	102.99   	-864.70		103.25   	 -86.47		
-98.88   	 99.53   	-869.78		102.91   	-122.07		
-98.27   	 96.05   	-859.61		102.42   	-147.51		
-97.66   	 92.61   	-854.52		101.83   	-167.85		
-97.05   	 89.20   	-869.78		101.16   	-193.29		
-96.74   	 85.72   	-915.56		100.39   	-198.37		
-96.13   	 82.05   	-991.86		 99.59   	-203.46		
-95.52   	 78.09   	-1078.33		 98.78   	-198.37		
-94.60   	 73.77   	-1164.80		 97.99   	-188.20		
-93.99   	 69.11   	-1236.01		 97.23   	-178.03		
-93.69   	 64.17   	-1266.53		 96.52   	-162.77		
-93.08   	 59.10   	-1256.35		 95.87   	-142.42		
-92.16   	 54.08   	-1215.66		 95.30   	-132.25		
-90.94   	 49.22   	-1134.28		 94.77   	-116.99		
-90.03   	 44.68   	-1037.64		 94.30   	-106.82		
-90.03   	 40.53   	-925.73		 93.88   	 -91.56		
-90.64   	 36.83   	-824.00		 93.51   	 -86.47		
-92.16   	 33.53   	-732.45		 93.16   	 -81.38		
-93.08   	 30.60   	-651.07		 92.84   	 -81.38		
-93.38   	 28.00   	-584.94		 92.51   	 -76.30		
-93.08   	 25.66   	-534.08		 92.21   	 -71.21		
-92.16   	 23.52   	-483.21		 91.92   	 -71.21		
-91.55   	 21.59   	-432.35		 91.64   	 -61.04		
-91.55   	 19.86   	-391.66		 91.39   	 -50.86		
-91.55   	 18.29   	-335.71		 91.19   	 -35.61		
-90.94   	 16.95   	-284.84		 91.05   	 -20.35		
-90.03   	 15.81   	-223.80		 90.97   	   0.00		
-89.42   	 14.91   	-178.03		 90.97   	  15.26		
-89.42   	 14.20   	-132.25		 91.03   	  35.61		
-89.42   	 13.67   	 -96.64		 91.17   	  45.78		
-89.72   	 13.29   	 -71.21		 91.35   	  61.04		
-89.11   	 13.00   	 -45.78		 91.60   	  71.21		
-87.89   	 12.82   	 -45.78		 91.88   	  76.30		
-86.98   	 12.63   	 -40.69		 92.19   	  71.21		
-86.06   	 12.47   	 -45.78		 92.47   	  71.21		
-86.06   	 12.29   	 -55.95		 92.76   	  66.12		
-86.36   	 12.07   	 -50.86		 93.02   	  55.95		
-87.28   	 11.86   	 -50.86		 93.24   	  40.69		
-88.20   	 11.66   	 -30.52		 93.41   	  30.52		
-89.42   	 11.54   	  -5.09		 93.53   	  20.35		
-90.03   	 11.52(D)	  25.43		 93.61   	  10.17		
-90.03   	 11.62   	  55.95		 93.65   	  -5.09		
-89.11   	 11.84   	  81.38		 93.63   	 -15.26		
-87.28   	 12.17   	 101.73		 93.57   	 -20.35		
-85.45   	 12.57   	 111.90		 93.49   	 -35.61		
-83.62   	 13.02   	 116.99		 93.35   	 -45.78		
-82.70   	 13.49   	 101.73		 93.16   	 -50.86		
-82.40   	 13.90   	  91.56		 92.96   	 -55.95		
-82.09   	 14.26   	  76.30		 92.74   	 -66.12		
-81.79   	 14.57   	  66.12		 92.47   	 -71.21		
-81.48   	 14.83   	  50.86		 92.19   	 -71.21		
