  I     	  II     	  FA     	  FA'		  LVp     	  LVp'		
 58.90   	127.87   	 71.66   	 -35.61		 13.14   	  55.95		
168.46   	205.08   	 71.52   	 -35.61		 13.37   	  50.86		
290.83   	275.57   	 71.37   	 -25.43		 13.57   	  55.95		
404.66   	351.26   	 71.27   	 -30.52		 13.79   	  55.95		
485.84   	446.47   	 71.15   	 -25.43		 14.02   	  61.04		
507.20   	552.06   	 71.05   	 -25.43		 14.26   	  55.95		
448.00   	630.80   	 70.95   	 -25.43		 14.49   	  66.12		
310.97   	638.73(R)	 70.84   	 -30.52		 14.75(E)	  61.04		
129.39   	552.67   	 70.72   	 -30.52		 14.99   	  71.21		
-40.28   	390.93   	 70.60   	 -30.52		 15.28   	  81.38		
-145.87   	205.08   	 70.48   	 -30.52		 15.61   	  91.56		
-169.98   	 47.61   	 70.36   	 -35.61		 15.97   	 111.90		
-137.33   	-55.54   	 70.21   	 -35.61		 16.42   	 132.25		
-92.47   	-103.76   	 70.07   	 -40.69		 16.95   	 172.94		
-66.22   	-112.61   	 69.91   	 -45.78		 17.64   	 218.72		
-62.56   	-101.32   	 69.73   	 -50.86		 18.51   	 274.67		
-67.14   	-83.31   	 69.52   	 -50.86		 19.61   	 345.88		
-65.92   	-68.36   	 69.32   	 -55.95		 21.00   	 422.18		
-57.68   	-62.56   	 69.09   	 -61.04		 22.69   	 508.65		
-49.74   	-66.53   	 68.85   	 -61.04		 24.72   	 595.11		
-48.83   	-75.38   	 68.61   	 -66.12		 27.10   	 681.58		
-54.63   	-81.79   	 68.34   	 -71.21		 29.83   	 768.05		
-60.73   	-83.31   	 68.06   	 -66.12		 32.90   	 849.44		
-62.87   	-81.18   	 67.79   	 -71.21		 36.30   	 910.47		
-58.90   	-79.04   	 67.51   	 -71.21		 39.94   	 966.43		
-50.66   	-79.35   	 67.22   	 -66.12		 43.80   	 996.94		
-44.25   	-83.31   	 66.96   	 -66.12		 47.79   	1012.20		
-43.95   	-88.50   	 66.69   	 -66.12		 51.84   	 996.94		
-48.83   	-92.77   	 66.43   	 -61.04		 55.83   	 971.51		
-53.71   	-94.60   	 66.18   	 -61.04		 59.71   	 920.65		
-53.71   	-92.77   	 65.94   	 -50.86		 63.40   	 864.70		
-48.83   	-89.42   	 65.74   	 -50.86		 66.86   	 803.66		
-44.25   	-85.14   	 65.53   	 -40.69		 70.07   	 747.71		
-46.08   	-81.79   	 65.37   	 -35.61		 73.06   	 696.84		
-54.32   	-81.18   	 65.23   	 -30.52		 75.85   	 656.15		
-61.95   	-82.40   	 65.11   	 -20.35		 78.47   	 635.81		
-62.26   	-84.23   	 65.03   	 -10.17		 81.02   	 615.46		
-52.49   	-85.45   	 64.98(D)	   5.09		 83.48   	 605.29		
-37.54   	-85.14   	 65.00   	  40.69		 85.90   	 595.11		
-25.63   	-82.70   	 65.17   	  86.47		 88.28   	 590.03		
-22.28   	-78.43   	 65.51   	 157.68		 90.64   	 584.94		
-26.55   	-73.55   	 66.14   	 249.24		 92.98   	 569.68		
-33.26   	-69.27   	 67.14   	 356.05		 95.26   	 554.42		
-36.62   	-66.22   	 68.57   	 457.78		 97.48   	 528.99		
-34.18   	-65.61   	 70.40   	 549.34		 99.59   	 498.47		
-28.38   	-65.92   	 72.59   	 620.55		101.59   	 462.87		
-22.89   	-64.09   	 75.08   	 681.58		103.44   	 432.35		
-20.45   	-59.81   	 77.80   	 717.19		105.17   	 396.74		
-21.06   	-55.85   	 80.67   	 737.54		106.75   	 371.31		
-22.58   	-55.24   	 83.62   	 752.79		108.24   	 340.79		
-22.28   	-57.37   	 86.63   	 752.79		109.60   	 320.45		
-18.62   	-59.81   	 89.64   	 742.62		110.88   	 305.19		
-11.90   	-58.59   	 92.61   	 742.62		112.11   	 300.10		
 -2.75   	-51.27   	 95.58   	 722.28		113.31   	 289.93		
  5.80   	-41.20   	 98.47   	 712.10		114.47   	 289.93		
 11.29   	-33.26   	101.32   	 696.84		115.63   	 289.93		
 14.34   	-28.99   	104.11   	 676.50		116.78   	 279.75		
 15.87   	-28.08   	106.82   	 656.15		117.90   	 279.75		
 17.09   	-28.99   	109.44   	 630.72		119.02   	 279.75		
 19.23   	-29.60   	111.96   	 600.20		120.14   	 264.50		
 22.28   	-28.08   	114.36   	 569.68		121.20   	 264.50		
 26.86   	-23.50   	116.64   	 534.08		122.26   	 249.24		
 33.57   	-14.95   	118.78   	 508.65		123.25   	 249.24		
 42.11   	 -4.88   	120.81   	 467.95		124.25   	 239.06		
 50.05   	  3.36   	122.69   	 442.52		125.21   	 228.89		
 55.54   	  6.10   	124.46   	 412.00		126.12   	 218.72		
 58.59   	  5.80   	126.10   	 381.48		127.00   	 208.54		
 60.73   	  7.02   	127.63   	 356.05		127.83   	 198.37		
 64.70   	 13.73   	129.05   	 330.62		128.63   	 188.20		
 71.72   	 25.02   	130.38   	 310.27		129.38   	 178.03		
 80.57   	 35.71   	131.62   	 284.84		130.09   	 162.77		
 88.50   	 41.20   	132.76   	 264.50		130.74   	 152.59		
 92.16   	 43.03   	133.81   	 244.15		131.35   	 137.33		
 91.55   	 45.47   	134.79   	 223.80		131.90   	 127.16		
 88.20   	 52.49   	135.69   	 198.37		132.41   	 106.82		
 85.14   	 62.26   	136.48   	 188.20		132.84   	  96.64		
 84.23   	 71.11   	137.23   	 162.77		133.22   	  81.38		
 83.62   	 73.55   	137.88   	 142.42		133.55   	  66.12		
 78.13   	 68.66   	138.45   	 127.16		133.81   	  61.04		
 66.22   	 58.90   	138.96   	 106.82		134.06   	  40.69		
