  I     	  II     	  LV     	  LV'		  FA     	  FA'		
399.48   	1132.20   	 14.81   	  30.52		 87.00   	-157.68		
570.98   	1446.23(R)	 14.93   	  25.43		 86.37   	 -76.30		
555.11   	1341.25   	 15.04   	  35.61		 86.06   	 -76.30		
460.51   	1136.17   	 15.18   	  45.78		 85.76   	 -71.21		
308.53   	906.37   	 15.36   	  55.95		 85.47   	 -71.21		
140.69   	684.51   	 15.58   	  76.30		 85.19   	 -66.12		
  1.22   	464.48   	 15.89   	  91.56		 84.92   	 -61.04		
-82.40   	245.36   	 16.26   	 116.99		 84.68   	 -66.12		
-109.56   	 55.85   	 16.72   	 147.51		 84.41   	 -61.04		
-100.71   	-69.89   	 17.31   	 188.20		 84.17   	 -61.04		
-78.74   	-126.34   	 18.07   	 239.06		 83.93   	 -55.95		
-59.51   	-138.55   	 19.02   	 295.01		 83.70   	 -55.95		
-45.78   	-138.55   	 20.20   	 366.22		 83.48   	 -55.95		
-36.62   	-144.04   	 21.67   	 442.52		 83.26   	 -55.95		
-31.74   	-152.89   	 23.44   	 523.90		 83.03   	 -55.95		
-31.13   	-157.47   	 25.53   	 610.37		 82.81   	 -55.95		
-33.57   	-156.86   	 27.98   	 691.76		 82.58   	 -50.86		
-34.48   	-156.25   	 30.74   	 783.31		 82.38   	 -55.95		
-31.74   	-157.17   	 33.88   	 859.61		 82.16   	 -50.86		
-26.25   	-156.86   	 37.31   	 940.99		 81.95   	 -50.86		
-22.28   	-153.81   	 41.08   	1002.03		 81.75   	 -45.78		
-22.58   	-151.06   	 45.09   	1063.07		 81.57   	 -45.78		
-26.86   	-151.98   	 49.34   	1108.85		 81.38   	 -40.69		
-31.13   	-155.64   	 53.77   	1139.36		 81.22   	 -40.69		
-31.13   	-156.56   	 58.33   	1164.80		 81.06   	 -30.52		
-26.25   	-151.67   	 62.99   	1180.06		 80.94   	 -25.43		
-19.53   	-141.60   	 67.71   	1185.14		 80.83   	 -20.35		
-15.56   	-131.53   	 72.45   	1180.06		 80.75   	 -10.17		
-16.78   	-127.56   	 77.17   	1195.32		 80.71(D)	  10.17		
-22.28   	-131.23   	 81.95   	1220.75		 80.75   	  20.35		
-26.86   	-137.63   	 86.84   	1251.27		 80.83   	  50.86		
-25.94   	-138.85   	 91.84   	1276.70		 81.04   	  71.21		
-20.75   	-131.84   	 96.95   	1281.79		 81.32   	 106.82		
-15.87   	-121.15   	102.07   	1271.61		 81.75   	 147.51		
-15.26   	-113.83   	107.16   	1246.18		 82.34   	 183.11		
-19.23   	-112.92   	112.15   	1215.66		 83.07   	 233.98		
-24.72   	-114.44   	117.01   	1190.23		 84.01   	 279.75		
-27.16   	-112.30   	121.77   	1159.71		 85.13   	 330.62		
-24.72   	-103.76   	126.41   	1119.02		 86.45   	 381.48		
-19.53   	-93.08   	130.88   	1068.15		 87.98   	 427.26		
-14.65   	-87.28   	135.16   	1007.12		 89.68   	 478.13		
-12.51   	-88.20   	139.19   	 946.08		 91.60   	 518.82		
-12.51   	-93.08   	142.97   	 890.13		 93.67   	 569.68		
-13.43   	-94.30   	146.53   	 839.26		 95.95   	 605.29		
-12.82   	-87.89   	149.89   	 778.23		 98.37   	 645.98		
-10.68   	-73.85   	153.00   	 727.36		100.96   	 681.58		
 -7.32   	-57.37   	155.91   	 666.32		103.68   	 712.10		
 -3.97   	-43.03   	158.58   	 615.46		106.53   	 737.54		
 -2.14   	-34.18   	161.04   	 569.68		109.48   	 762.97		
 -0.61   	-29.91   	163.32   	 539.16		112.53   	 778.23		
  1.83   	-26.55   	165.47   	 508.65		115.65   	 793.49		
  6.71   	-19.53   	167.51   	 478.13		118.82   	 803.66		
 13.43   	 -7.63   	169.42   	 447.61		122.03   	 813.83		
 19.23   	  7.02   	171.21   	 427.26		125.29   	 813.83		
 21.67   	 21.97   	172.92   	 401.83		128.54   	 813.83		
 21.97   	 35.10   	174.53   	 386.57		131.80   	 803.66		
 22.28   	 46.08   	176.07   	 381.48		135.01   	 798.57		
 25.33   	 56.76   	177.60   	 366.22		138.21   	 788.40		
 31.43   	 68.66   	179.06   	 356.05		141.36   	 768.05		
 39.06   	 81.79   	180.49   	 340.79		144.43   	 757.88		
 45.47   	 94.60   	181.85   	 325.53		147.47   	 737.54		
 50.35   	106.51   	183.15   	 320.45		150.42   	 717.19		
 53.71   	115.66   	184.43   	 310.27		153.29   	 691.76		
 57.07   	121.46   	185.68   	 305.19		156.05   	 676.50		
 61.04   	123.90   	186.90   	 295.01		158.76   	 645.98		
 66.22   	124.51   	188.08   	 284.84		161.34   	 625.63		
 71.11   	124.51   	189.22   	 269.58		163.84   	 595.11		
 73.55   	123.90   	190.29   	 254.32		166.23   	 574.77		
 71.41   	121.77   	191.31   	 239.06		168.52   	 544.25		
 66.22   	115.97   	192.27   	 233.98		170.70   	 518.82		
 60.73   	107.73   	193.20   	 218.72		172.78   	 493.39		
 57.68   	 98.27   	194.08   	 198.37		174.75   	 462.87		
 55.24   	 88.20   	194.87   	 183.11		176.60   	 442.52		
 51.88   	 77.21   	195.60   	 157.68		178.37   	 406.92		
 45.47   	 62.87   	196.24   	 137.33		180.00   	 386.57		
 36.62   	 44.25   	196.78   	 116.99		181.55   	 356.05		
 27.47   	 22.28   	197.25   	  96.64		182.97   	 325.53		
 20.14   	  2.44   	197.64   	  71.21		184.27   	 305.19		
 14.65   	-12.51   	197.92   	  40.69		185.49   	 274.67		
 10.99   	-22.28   	198.09   	   5.09		186.59   	 249.24		
  7.63   	-30.21   	198.11(S)	 -25.43		187.59   	 218.72		
  3.36   	-40.28   	198.01   	 -50.86		188.46   	 193.29		
 -3.97   	-56.15   	197.80   	 -86.47		189.24   	 167.85		
-14.65   	-74.46   	197.46   	-116.99		189.91   	 137.33		
-24.72   	-89.42   	196.99   	-162.77		190.46   	 111.90		
-29.91   	-96.44   	196.34   	-198.37		190.90   	  81.38		
-29.30   	-96.13   	195.54   	-249.24		191.23   	  50.86		
-24.11   	-92.16   	194.55   	-295.01		191.43   	  20.35		
-19.23   	-90.33   	193.37   	-345.88		191.52(S)	 -10.17		
-18.31   	-93.69   	191.98   	-396.74		191.47   	 -45.78		
-21.67   	-100.10   	190.40   	-457.78		191.29   	 -76.30		
-25.94   	-105.59   	188.56   	-523.90		190.99   	-106.82		
-28.38   	-107.73   	186.47   	-584.94		190.56   	-147.51		
-28.69   	-108.03   	184.13   	-666.32		189.97   	-188.20		
-27.77   	-107.73   	181.46   	-757.88		189.22   	-223.80		
-27.16   	-108.95   	178.43   	-844.35		188.32   	-259.41		
-28.69   	-110.78   	175.06   	-951.17		187.28   	-305.19		
-31.74   	-112.61   	171.25   	-1052.90		186.06   	-345.88		
-35.10   	-112.61   	167.04   	-1159.71		184.68   	-376.40		
-36.32   	-111.69   	162.40   	-1256.35		183.17   	-417.09		
-35.40   	-110.17   	157.37   	-1353.00		181.50   	-447.61		
-33.57   	-108.95   	151.96   	-1429.29		179.71   	-478.13		
-32.04   	-108.03   	146.25   	-1495.42		177.80   	-503.56		
-32.96   	-107.42   	140.26   	-1556.45		175.79   	-518.82		
-34.79   	-106.20   	134.04   	-1592.06		173.71   	-539.16		
-36.01   	-103.15   	127.67   	-1622.58		171.56   	-549.34		
-35.40   	-99.79   	121.18   	-1632.75		169.36   	-554.42		
-34.18   	-97.35   	114.65   	-1632.75		167.14   	-559.51		
-33.87   	-97.35   	108.12   	-1622.58		164.90   	-554.42		
-36.01   	-98.88   	101.63   	-1597.15		162.69   	-549.34		
-39.37   	-100.40   	 95.24   	-1556.45		160.49   	-544.25		
