  I     	  II     	  LVp     	  LVp'		
-126.65   	-203.86   	  1.79   	 -10.17		
-130.00   	-211.79   	  1.75   	 -20.35		
-120.24   	-212.40   	  1.67   	 -35.61		
-77.21   	-198.67   	  1.53   	 -40.69		
 17.70   	-163.88   	  1.36   	 -55.95		
172.73   	-99.18   	  1.14   	 -61.04		
376.89   	  6.41   	  0.90   	 -66.12		
603.94   	163.57   	  0.63   	 -71.21		
813.90   	368.96   	  0.35   	 -66.12		
957.64   	586.24   	  0.08   	 -66.12		
979.61   	750.73   	 -0.18   	 -55.95		
839.23   	800.48(R)	 -0.41   	 -45.78		
546.88   	715.33   	 -0.59   	 -30.52		
178.22   	529.17   	 -0.71   	 -10.17		
-149.84   	310.36   	 -0.75   	   5.09		
-337.83   	119.02   	 -0.73   	  30.52		
-361.33   	-20.14   	 -0.61   	  50.86		
-276.79   	-109.86   	 -0.41   	  71.21		
-173.03   	-158.69   	 -0.12   	  86.47		
-110.47   	-170.90   	  0.22   	 111.90		
-96.74   	-155.03   	  0.67   	 122.07		
-107.73   	-128.78   	  1.16   	 132.25		
-118.10   	-112.00   	  1.69   	 142.42		
-121.15   	-115.36   	  2.26   	 137.33		
-121.46   	-132.75   	  2.81   	 137.33		
-122.07   	-148.62   	  3.36   	 127.16		
-119.93   	-152.28   	  3.87   	 111.90		
-112.92   	-144.96   	  4.31   	  96.64		
-102.54   	-134.28   	  4.70   	  66.12		
-93.38   	-127.56   	  4.96   	  40.69		
-89.11   	-127.26   	  5.13   	  15.26		
-89.11   	-131.23   	  5.19   	 -10.17		
-91.25   	-136.11   	  5.15   	 -45.78		
-92.16   	-138.55   	  4.96   	 -66.12		
-89.11   	-137.33   	  4.70   	 -91.56		
-83.31   	-132.14   	  4.33   	-111.90		
-75.99   	-123.90   	  3.89   	-127.16		
-68.97   	-112.00   	  3.38   	-137.33		
-62.56   	-97.66   	  2.83   	-137.33		
-57.07   	-83.62   	  2.28   	-132.25		
-52.80   	-74.46   	  1.75   	-122.07		
-50.66   	-73.85   	  1.26   	-111.90		
-50.05   	-81.48   	  0.81   	 -91.56		
-49.44   	-90.33   	  0.45   	 -66.12		
-46.69   	-91.25   	  0.18   	 -35.61		
-41.20   	-81.48   	  0.04   	 -15.26		
-33.26   	-65.00   	 -0.02   	  10.17		
-23.50   	-50.35   	  0.02   	  30.52		
-12.21   	-43.95   	  0.14   	  45.78		
 -0.92   	-44.56   	  0.33   	  61.04		
  8.85   	-45.47   	  0.57   	  61.04		
 15.87   	-40.59   	  0.81   	  66.12		
 20.75   	-29.60   	  1.08   	  66.12		
 26.25   	-16.78   	  1.34   	  50.86		
 33.57   	 -5.49   	  1.55   	  40.69		
 43.03   	  4.88   	  1.71   	  30.52		
 53.71   	 17.70   	  1.83   	  10.17		
 64.70   	 35.40   	  1.87   	   5.09		
 75.38   	 57.37   	  1.89   	 -10.17		
 85.14   	 77.82   	  1.85   	 -20.35		
 93.38   	 92.16   	  1.77   	 -25.43		
100.71   	100.40   	  1.67   	 -30.52		
108.03   	106.20   	  1.55   	 -30.52		
116.27   	112.61   	  1.42   	 -35.61		
124.51   	119.93   	  1.28   	 -30.52		
130.62   	126.95   	  1.16   	 -25.43		
134.28   	133.36   	  1.06   	 -20.35		
137.33   	142.21   	  0.98   	 -25.43		
140.69   	156.25   	  0.87   	 -15.26		
143.43   	173.34   	  0.81   	 -15.26		
142.21   	186.77   	  0.75   	 -10.17		
134.89   	189.82   	  0.71   	 -10.17		
122.38   	183.11   	  0.67   	 -10.17		
107.73   	170.59   	  0.63   	  -5.09		
 93.38   	155.64   	  0.61   	  -5.09		
