  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-407.41   	-89.11   	 66.69   	 -40.69		 69.18   	 -35.61		
-339.97   	-90.94   	 66.53   	 -40.69		 69.03   	 -40.69		
-248.41   	-62.56   	 66.37   	 -35.61		 68.87   	 -40.69		
-133.97   	  4.27   	 66.23   	 -30.52		 68.71   	 -40.69		
-23.19   	 77.82   	 66.10   	 -30.52		 68.55   	 -40.69		
 85.75   	181.58   	 65.98   	 -25.43		 68.38   	 -35.61		
204.47   	316.16   	 65.88   	 -30.52		 68.24   	 -40.69		
267.64   	474.24   	 65.76   	 -30.52		 68.08   	 -35.61		
319.21   	653.08   	 65.64   	 -40.69		 67.93   	 -35.61		
317.99   	743.71   	 65.47   	 -45.78		 67.79   	 -30.52		
154.72   	629.58   	 65.29   	 -55.95		 67.67   	 -30.52		
-101.32   	355.83   	 65.07   	 -55.95		 67.55   	 -25.43		
-379.33   	-26.25   	 64.84   	 -55.95		 67.45   	 -30.52		
-655.21(R)	-462.34   	 64.62   	 -55.95		 67.32   	 -25.43		
-799.56   	-762.33   	 64.39   	 -45.78		 67.22   	 -25.43		
-713.20   	-938.42   	 64.21   	 -35.61		 67.12   	 -25.43		
-603.33   	-1047.97   	 64.07   	 -30.52		 67.02   	 -30.52		
-567.63   	-1019.29   	 63.95   	 -20.35		 66.90   	 -25.43		
-513.61   	-921.63   	 63.87   	 -15.26		 66.80   	 -30.52		
-560.91   	-805.97   	 63.80   	 -15.26		 66.67   	 -35.61		
-665.28   	-699.46   	 63.74   	 -15.26		 66.53   	 -35.61		
-693.05   	-634.46   	 63.68   	 -20.35		 66.39   	 -35.61		
-726.32   	-615.23   	 63.60   	 -25.43		 66.25   	 -35.61		
-746.46   	-620.42   	 63.50   	 -35.61		 66.10   	 -35.61		
-768.13   	-621.95   	 63.36   	 -40.69		 65.96   	 -35.61		
-771.48   	-628.97   	 63.19   	 -40.69		 65.82   	 -30.52		
-789.79   	-613.71   	 63.03   	 -40.69		 65.70   	 -30.52		
-828.25   	-619.51   	 62.87   	 -30.52		 65.57   	 -30.52		
-843.20   	-614.62   	 62.75   	 -25.43		 65.45   	 -30.52		
-825.81   	-585.33   	 62.64   	 -15.26		 65.33   	 -30.52		
-805.36   	-560.61   	 62.58   	  -5.09		 65.21   	 -30.52		
-759.28   	-510.86   	 62.56(D)	   5.09		 65.09   	 -30.52		
-692.75   	-439.45   	 62.58   	  15.26		 64.96   	 -30.52		
-645.45   	-366.52   	 62.64   	  25.43		 64.84   	 -30.52		
-590.52   	-292.66   	 62.75   	  45.78		 64.72   	 -30.52		
-542.60   	-229.49   	 62.93   	  91.56		 64.60   	 -30.52		
-520.32   	-184.33   	 63.30   	 142.42		 64.48   	 -25.43		
-500.49   	-156.56   	 63.87   	 223.80		 64.37   	 -30.52		
-488.28   	-143.74   	 64.76   	 325.53		 64.25   	 -30.52		
-481.57   	-133.67   	 66.06   	 437.43		 64.13   	 -30.52		
-470.89   	-124.21   	 67.81   	 544.25		 64.01   	 -30.52		
-469.67   	-119.93   	 69.99   	 640.89		 63.89   	 -30.52		
-467.83   	-115.66   	 72.55   	 707.02		 63.76   	 -30.52		
-461.12   	-111.39   	 75.38   	 732.45		 63.64   	 -25.43		
-464.48   	-118.41   	 78.31   	 727.36		 63.54   	 -30.52		
-458.68   	-117.49   	 81.22   	 681.58		 63.42   	 -25.43		
-457.15   	-115.97   	 83.95   	 600.20		 63.32   	 -30.52		
-464.17   	-123.90   	 86.35   	 513.73		 63.19   	 -25.43		
