  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
 39.06   	132.14   	 56.83   	 -35.61		 48.79   	 -40.69		
-115.36   	-23.19   	 56.68   	 -35.61		 48.63   	 -40.69		
-184.94   	-107.42   	 56.54   	 -25.43		 48.46   	 -35.61		
-191.04   	-144.65   	 56.44   	 -10.17		 48.32   	 -35.61		
-165.41   	-155.64   	 56.40(D)	  10.17		 48.18   	 -25.43		
-133.67   	-152.89   	 56.44   	  40.69		 48.08   	 -25.43		
-109.56   	-143.74   	 56.60   	  71.21		 47.98   	 -25.43		
-97.05   	-133.36   	 56.89   	 116.99		 47.87   	 -35.61		
-92.47   	-119.02   	 57.35   	 167.85		 47.73   	 -40.69		
-90.03   	-95.21   	 58.03   	 218.72		 47.57   	 -35.61		
-85.45   	-62.56   	 58.90   	 269.58		 47.43   	 -30.52		
-77.82   	-31.43   	 59.98   	 320.45		 47.30   	 -30.52		
-71.72   	-15.87   	 61.26   	 361.14		 47.18   	 -30.52		
-71.72   	-21.97   	 62.71   	 391.66		 47.06   	 -25.43		
-79.35   	-41.50   	 64.27   	 396.74		 46.96   	 -20.35		
-89.72   	-59.20   	 65.86   	 391.66		 46.88   	 -25.43		
-97.05   	-64.70   	 67.43   	 371.31		 46.77   	 -20.35		
-97.66   	-60.12   	 68.91   	 340.79		 46.69   	 -30.52		
-93.99   	-52.49   	 70.27   	 295.01		 46.57   	 -25.43		
-91.25   	-48.52   	 71.45   	 269.58		 46.47   	 -15.26		
-91.86   	-49.13   	 72.53   	 239.06		 46.41   	 -15.26		
-93.99   	-52.80   	 73.49   	 228.89		 46.35   	  -5.09		
-93.69   	-55.85   	 74.40   	 239.06		 46.33(D)	  15.26		
-90.03   	-57.07   	 75.36   	 259.41		 46.39   	  25.43		
-85.14   	-56.15   	 76.40   	 284.84		 46.49   	  61.04		
-82.70   	-54.93   	 77.54   	 315.36		 46.73   	 127.16		
-84.53   	-55.85   	 78.80   	 340.79		 47.24   	 208.54		
-90.03   	-59.81   	 80.16   	 371.31		 48.08   	 371.31		
-94.30   	-64.09   	 81.65   	 401.83		 49.56   	 579.86		
