  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-410.77   	 68.36   	 69.73   	 -81.38		 70.99   	 -35.61		
-299.38   	-42.42   	 69.40   	 -76.30		 70.84   	 -40.69		
-155.94   	-70.19   	 69.09   	 -71.21		 70.68   	 -50.86		
-69.89   	-68.36   	 68.81   	 -61.04		 70.48   	 -45.78		
-61.65   	-74.16   	 68.57   	 -40.69		 70.29   	 -50.86		
-95.52   	-93.38   	 68.40   	 -35.61		 70.09   	 -61.04		
-123.60   	-112.61   	 68.26   	 -91.56		 69.85   	 -76.30		
-124.51   	-121.15   	 67.89   	-106.82		 69.54   	-101.73		
-107.73   	-119.63   	 67.47   	 -25.43		 69.14   	-106.82		
-91.86   	-116.88   	 67.36(D)	  50.86		 68.71   	 -71.21		
-86.98   	-117.49   	 67.57   	  96.64		 68.42   	 -25.43		
-89.72   	-119.93   	 67.95   	 106.82		 68.32(D)	  15.26		
-93.69   	-121.77   	 68.38   	 157.68		 68.38   	  55.95		
-94.30   	-122.07   	 69.01   	 264.50		 68.61   	  66.12		
-90.64   	-121.15   	 70.07   	 417.09		 68.87   	  40.69		
-85.14   	-118.71   	 71.74   	 579.86		 69.03   	  55.95		
-79.65   	-114.75   	 74.06   	 701.93		 69.26   	  81.38		
-76.29   	-110.47   	 76.87   	 773.14		 69.58   	  91.56		
-74.46   	-106.81   	 79.96   	 727.36		 69.95   	 137.33		
-73.85   	-104.37   	 82.87   	 610.37		 70.50   	 198.37		
-72.63   	-102.54   	 85.31   	 513.73		 71.29   	 244.15		
-70.50   	-100.10   	 87.36   	 417.09		 72.27   	 345.88		
-68.05   	-97.35   	 89.03   	 320.45		 73.65   	 462.87		
-65.92   	-94.60   	 90.32   	 340.79		 75.50   	 539.16		
-64.09   	-92.16   	 91.68   	 498.47		 77.66   	 605.29		
-61.95   	-90.03   	 93.67   	 528.99		 80.08   	 666.32		
-59.51   	-87.28   	 95.79   	 396.74		 82.75   	 625.63		
-57.07   	-83.62   	 97.37   	 427.26		 85.25   	 564.60		
-54.63   	-79.96   	 99.08   	 523.90		 87.51   	 584.94		
-52.80   	-77.51   	101.18   	 391.66		 89.85   	 584.94		
-51.27   	-76.29   	102.75   	 218.72		 92.19   	 457.78		
-49.44   	-75.38   	103.62   	 178.03		 94.02   	 371.31		
-46.39   	-71.41   	104.33   	 127.16		 95.50   	 366.22		
-42.42   	-64.39   	104.84   	 -76.30		 96.97   	 345.88		
-37.84   	-55.85   	104.54   	-350.97		 98.35   	 218.72		
-33.57   	-48.52   	103.13   	-503.56		 99.23   	  81.38		
-29.60   	-44.86   	101.12   	-473.04		 99.55   	 162.77		
-26.25   	-43.95   	 99.23   	-361.14		100.20   	 284.84		
-22.58   	-42.11   	 97.78   	-172.94		101.34   	 284.84		
-18.31   	-37.23   	 97.09   	  25.43		102.48   	 386.57		
-13.12   	-28.99   	 97.19   	  50.86		104.03   	 539.16		
 -7.32   	-19.53   	 97.40   	-106.82		106.18   	 437.43		
 -0.92   	-11.29   	 96.97   	-218.72		107.93   	 218.72		
  5.19   	 -4.88   	 96.09   	  15.26		108.81   	 244.15		
 11.29   	  0.92   	 96.15   	 335.71		109.79   	 350.97		
 17.70   	  8.54   	 97.50   	 457.78		111.19   	 264.50		
 25.02   	 19.23   	 99.33   	 651.07		112.25   	 198.37		
 34.18   	 31.74   	101.93   	 803.66		113.04   	 284.84		
 44.25   	 44.56   	105.15   	 661.24		114.18   	 305.19		
 54.32   	 56.46   	107.79   	 442.52		115.40   	 193.29		
 63.78   	 67.75   	109.56   	 366.22		116.17   	 162.77		
 72.02   	 79.65   	111.03   	 457.78		116.83   	 218.72		
 79.35   	 93.38   	112.86   	 437.43		117.70   	 208.54		
 86.36   	107.42   	114.61   	 239.06		118.53   	 152.59		
 92.77   	120.24   	115.56   	  45.78		119.15   	 152.59		
 98.88   	131.23   	115.75   	  30.52		119.76   	 152.59		
104.06   	139.47   	115.87   	 137.33		120.37   	 193.29		
